Rk,Team,G,Pts/G,TotPts,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
1,ChicagoBears,16,29,9,478,483,30.2,2,583,5.3,161.4,22,65T,147,30.4,18,5,11
2,AtlantaFalcons,16,27,7,443,455,28.4,2,173,4.8,135.8,14,80T,102,22.4,14,6,5
3,NewEnglandPatriots,16,21,1,338,481,30.1,2,145,4.5,134.1,11,34,110,22.9,10,0,6
4,JacksonvilleJaguars,16,28,1,449,507,31.7,2,108,4.2,131.8,20,50,121,23.9,14,2,10
5,BuffaloBills,16,24,2,388,471,29.4,2,063,4.4,128.9,10,80T,98,20.8,19,2,7
6,DallasCowboys,16,27,432,437,27.3,2,056,4.7,128.5,17,60,122,27.9,8,3,4
7,IndianapolisColts,16,21,336,448,28.0,2,002,4.5,125.1,14,56,101,22.5,12,1,8
8,GreenBayPackers,16,26,8,428,432,27.0,2,000,4.6,125.0,16,41,116,26.9,16,1,3
9,MiamiDolphins,16,20,9,335,484,30.2,1,998,4.1,124.9,14,51,114,23.6,8,1,5
10,HoustonTexans,16,26,8,428,454,28.4,1,958,4.3,122.4,11,80T,88,19.4,15,4,7
11,KansasCityChiefs,16,19,1,305,428,26.8,1,923,4.5,120.2,9,61,88,20.6,15,6,4
12,PittsburghSteelers,16,23,1,370,433,27.1,1,849,4.3,115.6,18,93T,106,24.5,7,5,7
13,TennesseeTitans,16,23,8,381,446,27.9,1,795,4.0,112.2,21,60,108,24.2,9,1,9
14,NewOrleansSaints,16,19,304,387,24.2,1,786,4.6,111.6,11,52,82,21.2,15,4,3
15,ClevelandBrowns,16,25,4,406,462,28.9,1,781,3.9,111.3,13,54T,103,22.3,8,2,4
16,WashingtonRedskins,16,29,9,478,443,27.7,1,769,4.0,110.6,23,50T,102,23.0,11,3,8
17,MinnesotaVikings,16,30,480,443,27.7,1,767,4.0,110.4,14,41,101,22.8,14,1,7
18,TampaBayBuccaneers,16,24,3,389,438,27.4,1,762,4.0,110.1,10,56,95,21.7,11,3,6
19,NewYorkGiants,16,23,9,383,454,28.4,1,743,3.8,108.9,12,34,101,22.2,7,0,6
20,OaklandRaiders,16,28,3,453,442,27.6,1,727,3.9,107.9,15,45,100,22.6,5,1,6
21,SanDiegoChargers,16,21,8,348,376,23.5,1,725,4.6,107.8,14,46,98,26.1,6,1,4
22,BaltimoreRavens,16,22,352,440,27.5,1,687,3.8,105.4,7,43,79,18.0,5,2,6
23,PhiladelphiaEagles,16,23,9,382,443,27.7,1,668,3.8,104.2,12,35,100,22.6,7,0,15
24,St.LouisRams,16,22,8,364,440,27.5,1,646,3.7,102.9,18,41,87,19.8,12,1,8
25,DenverBroncos,16,24,9,399,420,26.2,1,626,3.9,101.6,15,35,90,21.4,13,0,9
25,SeattleSeahawks,16,14,4,231,422,26.4,1,626,3.9,101.6,4,51,83,19.7,6,1,7
27,DetroitLions,16,23,5,376,377,23.6,1,596,4.2,99.8,10,78T,62,16.4,14,7,10
28,CincinnatiBengals,16,19,1,305,385,24.1,1,544,4.0,96.5,6,51,72,18.7,6,3,4
29,SanFrancisco49ers,16,17,272,397,24.8,1,535,3.9,95.9,11,30,77,19.4,5,0,6
30,NewYorkJets,16,24,2,387,421,26.3,1,412,3.4,88.2,9,63T,68,16.2,6,2,5
31,CarolinaPanthers,16,15,1,241,352,22.0,1,391,4.0,86.9,4,46,70,19.9,8,1,5
32,ArizonaCardinals,16,20,2,324,370,23.1,1,351,3.7,84.4,5,56,68,18.4,10,1,6
