Rk,Team,G,Pts/G,TotPts,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
1,PhiladelphiaEagles,16,27,6,442,500,31.2,2,566,5.1,160.4,19,65T,133,26.6,19,5,5
2,BuffaloBills,16,21,2,339,546,34.1,2,307,4.2,144.2,15,77,113,20.7,11,5,12
3,SanFrancisco49ers,16,25,4,406,505,31.6,2,201,4.4,137.6,18,51,115,22.8,20,3,7
4,SeattleSeahawks,16,26,1,417,509,31.8,2,188,4.3,136.8,14,43,116,22.8,11,1,6
5,WashingtonRedskins,16,20,9,334,453,28.3,2,164,4.8,135.2,14,45T,112,24.7,16,1,11
6,NewYorkJets,16,18,1,290,493,30.8,2,158,4.4,134.9,12,69,105,21.3,14,2,7
7,GreenBayPackers,16,26,1,417,459,28.7,2,136,4.7,133.5,17,67,119,25.9,11,5,7
8,MinnesotaVikings,16,24,4,391,423,26.4,2,081,4.9,130.1,23,78T,106,25.1,16,5,9
9,NewEnglandPatriots,16,27,8,444,470,29.4,2,065,4.4,129.1,19,47T,110,23.4,12,2,10
10,KansasCityChiefs,16,26,9,430,442,27.6,2,056,4.7,128.5,17,46,110,24.9,13,1,8
11,CarolinaPanthers,16,22,9,366,483,30.2,2,026,4.2,126.6,14,56,122,25.3,10,2,3
12,OaklandRaiders,16,20,1,322,437,27.3,2,000,4.6,125.0,16,93T,90,20.6,18,3,7
13,SanDiegoChargers,16,24,8,396,486,30.4,1,965,4.0,122.8,9,51,104,21.4,7,2,5
14,TennesseeTitans,16,22,6,362,462,28.9,1,894,4.1,118.4,16,39,103,22.3,11,0,8
15,DenverBroncos,16,37,9,606,461,28.8,1,873,4.1,117.1,16,45,107,23.2,9,1,10
16,ChicagoBears,16,27,8,445,404,25.2,1,828,4.5,114.2,13,55,102,25.2,13,5,4
17,DetroitLions,16,24,7,395,445,27.8,1,792,4.0,112.0,15,39,106,23.8,8,0,19
18,CincinnatiBengals,16,26,9,430,481,30.1,1,755,3.6,109.7,14,35T,101,21.0,5,0,7
19,St.LouisRams,16,21,8,348,426,26.6,1,752,4.1,109.5,10,65T,82,19.2,11,4,6
20,HoustonTexans,16,17,2,276,414,25.9,1,743,4.2,108.9,7,60,90,21.7,7,1,5
20,IndianapolisColts,16,24,4,391,409,25.6,1,743,4.3,108.9,15,51T,88,21.5,11,2,3
22,TampaBayBuccaneers,16,18,288,420,26.2,1,612,3.8,100.8,6,80T,75,17.9,9,2,6
23,ArizonaCardinals,16,23,7,379,422,26.4,1,540,3.6,96.2,12,80T,84,19.9,10,1,7
24,DallasCowboys,16,27,4,439,336,21.0,1,504,4.5,94.0,12,45,80,23.8,9,4,5
25,NewOrleansSaints,16,25,9,414,391,24.4,1,473,3.8,92.1,10,38,87,22.3,7,0,1
26,MiamiDolphins,16,19,8,317,349,21.8,1,440,4.1,90.0,8,55,61,17.5,8,4,5
27,ClevelandBrowns,16,19,2,308,348,21.8,1,383,4.0,86.4,4,45,77,22.1,9,2,2
27,PittsburghSteelers,16,23,7,379,394,24.6,1,383,3.5,86.4,9,43,81,20.6,7,1,6
29,NewYorkGiants,16,18,4,294,381,23.8,1,332,3.5,83.2,11,49T,77,20.2,4,1,12
30,BaltimoreRavens,16,20,320,423,26.4,1,328,3.1,83.0,7,47,68,16.1,5,1,2
31,JacksonvilleJaguars,16,15,4,247,378,23.6,1,260,3.3,78.8,7,48,71,18.8,7,2,5
32,AtlantaFalcons,16,22,1,353,321,20.1,1,247,3.9,77.9,11,50T,64,19.9,6,2,1
