Rk,Team,G,Pts/G,TotPts,ScrmPlys,Yds/G,Yds/P,1st/G,3rdMd,3rdAtt,3rdPct,4thMd,4thAtt,4thPct,Pen,PenYds,ToP/G,FUM,Lost,TO
1,DenverBroncos,16,37,9,606,1,156,457.3,6.3,27.2,95,205,46,8,9,89,117,1,000,30:31,27,16,0
2,PhiladelphiaEagles,16,27,6,442,1,054,417.2,6.3,22.2,83,213,39,7,14,50,95,846,26:24,19,10,+12
3,GreenBayPackers,16,26,1,417,1,074,400.2,6.0,21.9,89,216,41,9,13,69,86,801,30:53,19,9,-3
4,NewOrleansSaints,16,25,9,414,1,079,399.4,5.9,22.4,97,221,44,9,19,47,95,817,32:41,12,7,0
5,SanDiegoChargers,16,24,8,396,1,060,393.3,5.9,23.3,101,206,49,5,6,83,95,765,33:35,14,10,-4
6,DetroitLions,16,24,7,395,1,102,392.1,5.7,21.9,95,221,43,5,14,36,110,925,32:22,28,15,-12
7,NewEnglandPatriots,16,27,8,444,1,138,384.5,5.4,23.6,83,221,38,7,15,47,69,625,30:21,24,9,+9
8,ChicagoBears,16,27,8,445,1,013,381.8,6.0,21.5,83,197,42,8,13,62,85,708,31:02,21,10,+5
9,WashingtonRedskins,16,20,9,334,1,107,369.7,5.3,20.6,95,235,40,6,20,30,99,802,30:53,30,15,-8
10,CincinnatiBengals,16,26,9,430,1,097,368.2,5.4,20.6,92,225,41,12,21,57,102,1,000,32:50,20,10,+1
11,HoustonTexans,16,17,2,276,1,089,347.2,5.1,19.2,83,231,36,6,17,35,112,1,138,31:31,21,9,-20
12,ArizonaCardinals,16,23,7,379,1,037,346.4,5.3,20.6,74,210,35,5,9,56,97,744,31:00,22,9,-1
13,MinnesotaVikings,16,24,4,391,1,013,344.2,5.4,19.3,78,214,36,10,19,53,70,695,28:28,23,13,-12
14,AtlantaFalcons,16,22,1,353,1,024,343.1,5.4,20.6,89,207,43,6,14,43,91,788,30:20,17,11,-7
15,IndianapolisColts,16,24,4,391,1,023,341.8,5.3,19.9,80,213,38,3,10,30,66,576,29:41,14,4,+13
16,DallasCowboys,16,27,4,439,957,341.1,5.7,20.3,63,180,35,4,6,67,102,867,29:02,18,8,+8
17,ClevelandBrowns,16,19,2,308,1,078,339.4,5.0,18.8,83,237,35,14,31,45,104,920,28:41,17,9,-8
18,SeattleSeahawks,16,26,1,417,973,339.0,5.6,19.2,76,204,37,6,11,54,128,1,183,30:32,26,10,+20
19,BuffaloBills,16,21,2,339,1,116,338.1,4.8,18.8,83,244,34,4,14,29,110,952,28:43,32,12,+3
20,PittsburghSteelers,16,23,7,379,1,023,337.5,5.3,19.5,82,216,38,9,15,60,80,677,30:53,16,10,-4
21,KansasCityChiefs,16,26,9,430,1,029,337.2,5.2,20.2,74,213,35,4,11,36,101,774,31:06,21,10,+18
22,TennesseeTitans,16,22,6,362,1,032,336.9,5.2,19.4,94,227,41,11,17,65,101,900,30:17,27,9,0
23,OaklandRaiders,16,20,1,322,1,000,333.8,5.3,17.2,78,223,35,7,12,58,116,912,29:54,27,11,-9
24,SanFrancisco49ers,16,25,4,406,961,323.8,5.4,17.9,77,211,36,7,11,64,103,845,30:34,20,10,+12
25,NewYorkJets,16,18,1,290,1,020,318.1,5.0,17.5,90,231,39,1,8,12,108,837,30:13,15,7,-14
26,CarolinaPanthers,16,22,9,366,999,316.8,5.1,19.9,91,208,44,10,13,77,80,671,31:54,12,6,+11
27,MiamiDolphins,16,19,8,317,1,001,312.9,5.0,17.4,76,217,35,3,12,25,70,598,28:42,16,7,-2
28,NewYorkGiants,16,18,4,294,988,307.5,5.0,17.5,69,211,33,6,12,50,91,786,29:16,26,15,-15
29,BaltimoreRavens,16,20,320,1,090,307.4,4.5,18.4,92,253,36,6,16,38,112,942,30:21,15,6,-5
30,St.LouisRams,16,21,8,348,968,304.8,5.0,17.6,73,212,34,6,18,33,123,1,009,29:05,20,10,+8
31,JacksonvilleJaguars,16,15,4,247,1,020,293.8,4.6,16.9,70,225,31,13,30,43,96,797,27:22,18,6,-6
32,TampaBayBuccaneers,16,18,288,981,277.0,4.5,16.8,69,221,31,8,22,36,121,1,136,29:36,18,9,+10
