team-away,team-home,score-away,score-home
Chargers,Dolphins,16,20
Redskins,Eagles,16,24
Lions,Steelers,27,37
Falcons,Buccaneers,28,41
Chiefs,Broncos,17,27
49ers,Saints,20,23
Vikings,Seahawks,20,41
Packers,Giants,13,27
Patriots,Panthers,20,24
,,,
,,,
,,,
Saints,Falcons,17,13
Jets,Ravens,3,19
Steelers,Browns,27,11
Buccaneers,Lions,24,21
Vikings,Packers,26,26
Jaguars,Texans,13,6
Chargers,Chiefs,41,38
Panthers,Dolphins,20,16
Bears,Rams,21,42
Colts,Cardinals,11,40
Titans,Raiders,23,19
Cowboys,Giants,24,21
Broncos,Patriots,31,34
49ers,Redskins,27,6
,,,
,,,
,,,
Packers,Lions,10,40
Raiders,Cowboys,24,31
Steelers,Ravens,20,22
Buccaneers,Panthers,6,27
Jaguars,Browns,32,28
Titans,Colts,14,22
Broncos,Chiefs,35,28
Bears,Vikings,20,23
Dolphins,Jets,23,3
Cardinals,Eagles,21,24
Falcons,Bills,34,31
Rams,49ers,13,23
Patriots,Texans,34,31
Bengals,Chargers,17,10
Giants,Redskins,24,17
Saints,Seahawks,7,34
,,,
,,,
Texans,Jaguars,20,27
Vikings,Ravens,26,29
Colts,Bengals,28,42
Browns,Patriots,26,27
Raiders,Jets,27,37
Panthers,Saints,13,31
Lions,Eagles,20,34
Dolphins,Steelers,34,28
Bills,Buccaneers,6,27
Chiefs,Redskins,45,10
Titans,Broncos,28,51
Rams,Cardinals,10,30
Giants,Chargers,14,37
Seahawks,49ers,17,19
Falcons,Packers,21,22
Cowboys,Bears,28,45
,,,
,,,
Chargers,Broncos,27,20
Redskins,Falcons,26,27
Bears,Browns,38,31
Texans,Colts,3,25
Bills,Jaguars,27,20
Patriots,Dolphins,20,24
Eagles,Vikings,30,48
Seahawks,Giants,23,0
Saints,Rams,16,27
49ers,Buccaneers,33,14
Cardinals,Titans,37,34
Jets,Panthers,20,30
Chiefs,Raiders,56,31
Packers,Cowboys,37,36
Bengals,Steelers,20,30
Ravens,Lions,18,16
,,,
,,,
Dolphins,Bills,0,19
Saints,Panthers,13,17
Vikings,Bengals,14,42
Broncos,Texans,37,13
Titans,Jaguars,20,16
Colts,Chiefs,23,7
Browns,Jets,13,24
Bears,Eagles,11,54
Buccaneers,Rams,13,23
Cowboys,Redskins,24,23
Giants,Lions,23,20
Cardinals,Seahawks,17,10
Steelers,Packers,38,31
Raiders,Chargers,13,26
Patriots,Ravens,41,7
Falcons,49ers,24,34
,,,
,,,
Panthers,Falcons,21,20
Packers,Bears,33,28
Ravens,Bengals,17,34
Eagles,Cowboys,24,22
Jaguars,Colts,10,30
Jets,Dolphins,20,7
Lions,Vikings,13,14
Bills,Patriots,20,34
Buccaneers,Saints,17,42
Redskins,Giants,6,20
Browns,Steelers,7,20
Texans,Titans,10,16
49ers,Cardinals,23,20
Broncos,Raiders,34,14
Chiefs,Chargers,24,27
Rams,Seahawks,9,27
