team-away,team-home,score-away,score-home
Ravens,Broncos,27,49
Patriots,Bills,23,21
Seahawks,Panthers,12,7
Bengals,Bears,21,24
Dolphins,Browns,23,10
Vikings,Lions,24,34
Raiders,Colts,17,21
Chiefs,Jaguars,28,2
Buccaneers,Jets,17,18
Falcons,Saints,17,23
Titans,Steelers,16,9
Cardinals,Rams,24,27
Packers,49ers,28,34
Giants,Cowboys,31,36
Eagles,Redskins,33,27
Texans,Chargers,31,28
Jets,Patriots,10,13
Rams,Falcons,24,31
Browns,Ravens,6,14
Panthers,Bills,23,24
Vikings,Bears,30,31
Redskins,Packers,20,38
Titans,Texans,24,30
Dolphins,Colts,24,20
Cowboys,Chiefs,16,17
Chargers,Eagles,33,30
Lions,Cardinals,21,25
Saints,Buccaneers,16,14
Broncos,Giants,41,23
Jaguars,Raiders,9,19
49ers,Seahawks,3,29
Steelers,Bengals,10,20
Chiefs,Eagles,26,16
Texans,Ravens,9,30
Packers,Bengals,30,34
Rams,Cowboys,7,31
Falcons,Dolphins,23,27
Browns,Vikings,31,27
Bills,Jets,20,27
Buccaneers,Patriots,3,23
Cardinals,Saints,7,31
Chargers,Titans,17,20
Lions,Redskins,27,20
Giants,Panthers,0,38
Colts,49ers,27,7
Jaguars,Seahawks,17,45
Bears,Steelers,40,23
Raiders,Broncos,21,37
,,,
,,,
49ers,Rams,35,11
Ravens,Bills,20,23
Bengals,Browns,6,17
Bears,Lions,32,40
Seahawks,Texans,23,20
Colts,Jaguars,37,3
Giants,Chiefs,7,31
Steelers,Vikings,27,34
Cardinals,Buccaneers,13,10
Jets,Titans,13,38
Eagles,Broncos,20,52
Redskins,Raiders,24,14
Cowboys,Chargers,21,30
Patriots,Falcons,30,23
Dolphins,Saints,17,38
,,,
,,,
,,,
Bills,Browns,24,37
Saints,Bears,26,18
Patriots,Bengals,6,13
Lions,Packers,9,22
Seahawks,Colts,28,34
Ravens,Dolphins,26,23
Eagles,Giants,36,21
Jaguars,Rams,20,34
Chiefs,Titans,26,17
Panthers,Cardinals,6,22
Broncos,Cowboys,51,48
Chargers,Raiders,17,27
Texans,49ers,3,34
Jets,Falcons,30,28
,,,
,,,
,,,
Giants,Bears,21,27
Packers,Ravens,19,17
Bengals,Bills,27,24
Lions,Browns,31,17
Rams,Texans,38,13
Raiders,Chiefs,7,24
Panthers,Vikings,35,10
Steelers,Jets,19,6
Eagles,Buccaneers,31,20
Jaguars,Broncos,19,35
Titans,Seahawks,13,20
Saints,Patriots,27,30
Cardinals,49ers,20,32
Redskins,Cowboys,16,31
Colts,Chargers,9,19
,,,
,,,
,,,
Seahawks,Cardinals,34,22
Buccaneers,Falcons,23,31
Rams,Panthers,15,30
Bengals,Lions,27,24
Browns,Packers,13,31
Chargers,Jaguars,24,6
Texans,Chiefs,16,17
Bills,Dolphins,23,21
Patriots,Jets,27,30
Cowboys,Eagles,17,3
Bears,Redskins,41,45
49ers,Titans,31,17
Ravens,Steelers,16,19
Broncos,Colts,33,39
Vikings,Giants,7,23
,,,
,,,
,,,
Panthers,Buccaneers,31,13
Cowboys,Lions,30,31
49ers,Jaguars,42,10
Browns,Chiefs,17,23
Dolphins,Patriots,17,27
Bills,Saints,17,35
Giants,Eagles,15,7
Steelers,Raiders,18,21
Jets,Bengals,9,49
Falcons,Cardinals,13,27
Redskins,Broncos,21,45
Packers,Vikings,44,31
Seahawks,Rams,14,9
,,,
,,,
,,,
Bengals,Dolphins,20,22
Chiefs,Bills,23,13
Falcons,Panthers,10,34
Vikings,Cowboys,23,27
Saints,Jets,20,26
Titans,Rams,28,21
Chargers,Redskins,24,30
Eagles,Raiders,49,20
Buccaneers,Seahawks,24,27
Ravens,Browns,18,24
Steelers,Patriots,31,55
Colts,Texans,27,24
Bears,Packers,27,20
,,,
,,,
,,,
Redskins,Vikings,27,34
Seahawks,Falcons,33,10
Bengals,Ravens,17,20
Lions,Bears,21,19
Eagles,Packers,27,13
Rams,Colts,38,8
Raiders,Giants,20,24
Bills,Steelers,10,23
Jaguars,Titans,29,27
Panthers,49ers,10,9
Texans,Cardinals,24,27
Broncos,Chargers,28,20
Cowboys,Saints,17,49
Dolphins,Buccaneers,19,22
,,,
,,,
,,,
Colts,Titans,30,27
Jets,Bills,14,37
Ravens,Bears,20,23
Browns,Bengals,20,41
Raiders,Texans,28,23
Cardinals,Jaguars,27,14
