Rk,Team,G,Pts/G,TotPts,ScrmPlys,Yds/G,Yds/P,1st/G,3rdMd,3rdAtt,3rdPct,4thMd,4thAtt,4thPct,Pen,PenYds,ToP/G,FUM,Lost
1,AtlantaFalcons,16,26,1,417,1,038,398.2,6.1,22.4,95,203,47,4,8,50,91,744,30:39,19,12
2,NewOrleansSaints,16,26,5,424,1,022,384.0,6.0,21.6,99,215,46,4,8,50,105,889,30:29,15,5
3,ChicagoBears,16,27,6,442,1,008,377.1,6.0,20.3,85,201,42,12,19,63,106,978,30:06,25,10
4,NewYorkGiants,16,25,400,1,007,375.8,6.0,20.4,72,200,36,4,10,40,105,948,29:16,24,9
5,PhiladelphiaEagles,16,25,400,1,113,375.6,5.4,21.1,88,232,38,3,12,25,121,1,089,33:20,27,16
6,TennesseeTitans,16,27,4,438,1,099,373.0,5.4,22.3,94,227,41,5,11,46,93,731,32:29,7,4
7,JacksonvilleJaguars,16,25,8,412,1,085,370.8,5.5,20.6,101,236,43,4,10,40,115,886,32:49,22,14
8,TampaBayBuccaneers,16,25,6,410,1,067,368.9,5.5,22.1,93,213,44,5,9,56,106,935,33:05,25,11
9,ArizonaCardinals,16,18,7,299,1,010,368.2,5.8,18.8,81,215,38,5,13,38,130,1,192,30:12,13,7
10,ClevelandBrowns,16,21,1,337,1,118,366.1,5.2,21.8,90,239,38,11,18,61,98,769,31:47,23,8
11,CincinnatiBengals,16,21,5,344,1,067,359.3,5.4,21.1,79,215,37,10,19,53,105,876,30:25,15,6
12,OaklandRaiders,16,28,2,452,1,041,357.6,5.5,20.0,85,221,38,4,9,44,116,941,31:40,19,5
13,WashingtonRedskins,16,27,4,438,976,357.0,5.9,19.2,89,207,43,5,9,56,144,1,164,29:39,26,12
14,DallasCowboys,16,22,352,978,355.1,5.8,19.7,89,204,44,10,20,50,104,861,28:02,20,13
15,PittsburghSteelers,16,23,368,944,353.4,6.0,19.6,71,189,38,10,14,71,97,835,27:36,20,10
16,St.LouisRams,16,22,1,354,1,005,351.6,5.6,18.8,82,213,38,0,10,0,105,882,30:47,26,12
17,HoustonTexans,16,19,2,307,1,077,348.2,5.2,20.6,74,218,34,6,17,35,99,786,29:21,24,14
18,GreenBayPackers,16,21,8,348,1,054,346.4,5.3,21.2,83,206,40,15,28,54,104,945,29:28,20,9
19,MinnesotaVikings,16,21,4,343,1,025,344.7,5.4,20.1,90,217,42,9,14,64,112,938,31:26,20,6
20,NewEnglandPatriots,16,19,6,313,1,033,344.1,5.3,20.6,84,209,40,8,23,35,92,752,30:23,19,9
21,MiamiDolphins,16,23,3,373,1,029,343.4,5.3,19.3,98,223,44,13,22,59,105,920,29:52,19,11
22,IndianapolisColts,16,23,1,369,1,007,342.7,5.4,19.3,67,201,33,4,17,24,101,866,28:06,29,14
23,CarolinaPanthers,16,23,4,374,999,339.8,5.4,19.3,89,210,42,5,11,46,97,760,28:40,28,12
24,SanDiegoChargers,16,21,8,348,988,338.3,5.5,19.2,89,207,43,2,10,20,129,1,067,29:20,22,11
25,BaltimoreRavens,16,18,9,302,1,034,336.9,5.2,19.4,89,221,40,5,14,36,110,1,007,30:20,22,11
26,KansasCityChiefs,16,17,6,281,1,024,330.5,5.2,19.4,79,216,37,8,21,38,107,851,30:00,17,8
27,NewYorkJets,16,25,1,401,976,327.2,5.4,18.8,99,219,45,0,4,0,91,780,29:16,17,7
28,SanFrancisco49ers,16,21,2,340,989,321.4,5.2,19.2,88,203,43,7,14,50,122,909,29:11,18,6
29,BuffaloBills,16,18,1,289,1,027,312.2,4.9,18.9,73,220,33,5,11,46,104,849,30:35,20,11
30,DenverBroncos,16,22,1,354,1,031,305.2,4.7,19.4,81,222,36,10,17,59,103,816,29:36,21,7
31,DetroitLions,16,17,6,282,984,300.9,4.9,19.4,77,207,37,6,15,40,99,849,28:19,19,7
32,SeattleSeahawks,16,15,9,254,924,267.1,4.6,17.3,75,202,37,8,14,57,70,613,27:59,30,11
