team-away,team-home,score-away,score-home
Chargers,Raiders,31,28
Redskins,Cardinals,20,30
Cowboys,Seahawks,30,23
Giants,Eagles,0,27
49ers,Rams,31,17
Jets,Patriots,25,27
Falcons,Ravens,7,29
Vikings,Bills,16,17
Dolphins,Bears,27,14
Saints,Lions,23,24
Panthers,Packers,17,38
Bengals,Colts,0,27
Browns,Jaguars,6,24
Seahawks,Rams,26,28
Titans,Redskins,17,19
Chiefs,Chargers,23,20
Giants,Cowboys,21,31
Cardinals,Raiders,24,13
49ers,Broncos,17,42
Texans,Steelers,23,30
Chargers,Broncos,21,35
Lions,Falcons,22,21
Seahawks,Panthers,13,9
Ravens,Bengals,24,27
Dolphins,Jaguars,27,13
Rams,Chiefs,7,34
Bears,Patriots,23,51
Bills,Jets,43,23
Vikings,Buccaneers,19,13
Texans,Titans,30,16
Eagles,Cardinals,20,24
Raiders,Browns,13,23
Colts,Steelers,34,51
Packers,Saints,23,44
Redskins,Cowboys,20,17
Saints,Panthers,28,10
Jaguars,Bengals,23,33
Buccaneers,Browns,17,22
Cardinals,Cowboys,28,17
Eagles,Texans,31,21
Jets,Chiefs,10,24
Chargers,Dolphins,0,37
Redskins,Vikings,26,29
Rams,49ers,13,10
Broncos,Patriots,21,43
Raiders,Seahawks,24,30
Ravens,Steelers,23,43
Colts,Giants,40,24
Browns,Bengals,24,3
Titans,Ravens,7,21
Chiefs,Bills,17,13
Dolphins,Lions,16,20
Cowboys,Jaguars,31,17
49ers,Saints,27,24
Steelers,Jets,13,20
Falcons,Buccaneers,27,17
Broncos,Raiders,41,17
Rams,Cardinals,14,31
Giants,Seahawks,17,38
Bears,Packers,14,55
Panthers,Eagles,21,45
Bills,Dolphins,9,22
Falcons,Panthers,19,17
Vikings,Bears,13,21
Texans,Browns,23,7
Eagles,Packers,20,53
Seahawks,Chiefs,20,24
Bengals,Saints,27,10
49ers,Giants,16,10
Broncos,Rams,7,22
Buccaneers,Redskins,27,7
Raiders,Chargers,6,13
Lions,Cardinals,6,14
Patriots,Colts,42,20
Steelers,Titans,27,24
Chiefs,Raiders,20,24
Browns,Falcons,26,24
Jets,Bills,3,38
Buccaneers,Bears,13,21
Bengals,Texans,22,13
Jaguars,Colts,3,23
Packers,Vikings,24,21
Lions,Patriots,9,34
Titans,Eagles,24,43
Rams,Chargers,24,27
Cardinals,Seahawks,3,19
Dolphins,Broncos,36,39
Redskins,49ers,13,17
Cowboys,Giants,31,28
Ravens,Saints,34,27
Bears,Lions,17,34
Eagles,Cowboys,33,10
Seahawks,49ers,19,3
Chargers,Ravens,34,33
Browns,Bills,10,26
Titans,Texans,21,45
Redskins,Colts,27,49
Giants,Jaguars,24,25
Panthers,Vikings,13,31
Saints,Steelers,35,32
Raiders,Rams,0,52
Bengals,Buccaneers,14,13
Cardinals,Falcons,18,29
Patriots,Packers,21,26
Broncos,Chiefs,29,16
Dolphins,Jets,16,13
Cowboys,Bears,41,28
Steelers,Bengals,42,21
Colts,Browns,25,24
Buccaneers,Lions,17,34
Texans,Jaguars,27,13
Ravens,Dolphins,28,13
Jets,Vikings,24,30
Panthers,Saints,41,10
Giants,Titans,36,7
Rams,Redskins,24,0
Chiefs,Cardinals,14,17
Bills,Broncos,17,24
49ers,Raiders,13,24
Seahawks,Eagles,24,14
Patriots,Chargers,23,14
Falcons,Packers,37,43
Cardinals,Rams,12,6
Steelers,Falcons,27,20
Jaguars,Ravens,12,20
Packers,Bills,13,21
Buccaneers,Panthers,17,19
Bengals,Browns,30,0
Vikings,Lions,14,16
Texans,Colts,10,17
Raiders,Chiefs,13,31
Dolphins,Patriots,13,41
Redskins,Giants,13,24
Broncos,Chargers,22,10
Jets,Titans,16,11
49ers,Seahawks,7,17
Cowboys,Eagles,38,27
Saints,Bears,31,15
Titans,Jaguars,13,21
Eagles,Redskins,24,27
Chargers,49ers,38,35
Browns,Panthers,13,17
Lions,Bears,20,14
Ravens,Texans,13,25
Vikings,Dolphins,35,37
Falcons,Saints,30,14
Patriots,Jets,17,16
Chiefs,Steelers,12,20
Packers,Buccaneers,20,3
Giants,Rams,37,27
Colts,Cowboys,7,42
Bills,Raiders,24,26
Seahawks,Cardinals,35,6
Broncos,Bengals,28,37
Panthers,Falcons,34,3
Browns,Ravens,10,20
Lions,Packers,20,30
Jaguars,Texans,17,23
Chargers,Chiefs,7,19
Jets,Dolphins,37,24
Bears,Vikings,9,13
Bills,Patriots,17,9
Eagles,Giants,34,26
Bengals,Steelers,17,27
Saints,Buccaneers,23,20
Colts,Titans,27,10
Cowboys,Redskins,44,17
Raiders,Broncos,14,47
Cardinals,49ers,17,20
Rams,Seahawks,6,20
