team-away,team-home,score-away,score-home
Packers,Seahawks,16,36
Saints,Falcons,34,37
Bengals,Ravens,23,16
Bills,Bears,23,20
Redskins,Texans,6,17
Titans,Chiefs,26,10
Patriots,Dolphins,20,33
Raiders,Jets,14,19
Jaguars,Eagles,17,34
Browns,Steelers,27,30
Vikings,Rams,34,6
49ers,Cowboys,28,17
Panthers,Buccaneers,20,14
Colts,Broncos,24,31
Giants,Lions,14,35
Chargers,Cardinals,17,18
Steelers,Ravens,6,26
Dolphins,Bills,10,29
Lions,Panthers,7,24
Falcons,Bengals,10,24
Saints,Browns,24,26
Patriots,Vikings,30,7
Cardinals,Giants,25,14
Cowboys,Titans,26,10
Jaguars,Redskins,10,41
Seahawks,Chargers,21,30
Rams,Buccaneers,19,17
Chiefs,Broncos,17,24
Jets,Packers,24,31
Texans,Raiders,30,14
Bears,49ers,28,20
Eagles,Colts,30,27
Buccaneers,Falcons,14,56
Chargers,Bills,22,10
Titans,Bengals,7,33
Ravens,Browns,23,21
Packers,Lions,7,19
Colts,Jaguars,44,17
Raiders,Patriots,9,16
Vikings,Saints,9,20
Texans,Giants,17,30
Redskins,Eagles,34,37
Cowboys,Rams,34,31
49ers,Cardinals,14,23
Chiefs,Dolphins,34,15
Broncos,Seahawks,20,26
Steelers,Panthers,37,19
Bears,Jets,27,19
Giants,Redskins,45,14
Panthers,Ravens,10,38
Packers,Bears,38,17
Bills,Texans,17,23
Titans,Colts,17,41
Falcons,Vikings,28,41
Lions,Jets,24,17
Dolphins,Raiders,38,14
Buccaneers,Steelers,27,24
Jaguars,Chargers,14,33
Eagles,49ers,21,26
Saints,Cowboys,17,38
Patriots,Chiefs,14,41
Vikings,Packers,10,42
Bears,Panthers,24,31
Texans,Cowboys,17,20
Bills,Lions,17,14
Ravens,Colts,13,20
Steelers,Jaguars,17,9
Buccaneers,Saints,31,37
Falcons,Giants,20,30
Rams,Eagles,28,34
Browns,Titans,29,28
Cardinals,Broncos,20,41
Jets,Chargers,0,31
Chiefs,49ers,17,22
Bengals,Patriots,17,43
Seahawks,Redskins,27,17
Colts,Texans,33,28
Bears,Falcons,27,13
Patriots,Bills,37,22
Panthers,Bengals,37,37
Steelers,Browns,10,31
Packers,Dolphins,27,24
Lions,Vikings,17,3
Broncos,Jets,31,17
Ravens,Buccaneers,48,17
Jaguars,Titans,14,16
