Rk,Team,G,Pts/G,TotPts,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
1,SeattleSeahawks,16,24,6,394,525,32.8,2,762,5.3,172.6,20,79T,144,27.4,17,6,9
2,DallasCowboys,16,29,2,467,508,31.8,2,354,4.6,147.1,16,65T,106,20.9,19,5,9
3,NewYorkJets,16,17,7,283,507,31.7,2,280,4.5,142.5,11,71T,112,22.1,10,2,10
4,SanFrancisco49ers,16,19,1,306,470,29.4,2,176,4.6,136.0,10,90T,104,22.1,14,2,10
5,HoustonTexans,16,23,2,372,551,34.4,2,161,3.9,135.1,12,51,108,19.6,11,4,6
6,CincinnatiBengals,16,22,8,365,492,30.8,2,147,4.4,134.2,19,89T,122,24.8,14,4,8
7,CarolinaPanthers,16,21,2,339,473,29.6,2,036,4.3,127.2,10,69T,117,24.7,7,1,9
8,BaltimoreRavens,16,25,6,409,448,28.0,2,019,4.5,126.2,16,52,113,25.2,24,3,6
9,PhiladelphiaEagles,16,29,6,474,474,29.6,1,992,4.2,124.5,16,53,109,23.0,12,2,10
10,KansasCityChiefs,16,22,1,353,420,26.2,1,918,4.6,119.9,18,63T,92,21.9,12,3,9
11,GreenBayPackers,16,30,4,486,435,27.2,1,917,4.4,119.8,14,44T,104,23.9,11,2,7
12,MiamiDolphins,16,24,2,388,399,24.9,1,872,4.7,117.0,12,97T,99,24.8,13,2,8
13,NewOrleansSaints,16,25,1,401,406,25.4,1,818,4.5,113.6,16,67,101,24.9,10,2,6
14,MinnesotaVikings,16,20,3,325,413,25.8,1,804,4.4,112.8,12,67T,90,21.8,11,3,3
15,DenverBroncos,16,30,1,482,443,27.7,1,785,4.0,111.6,15,47,98,22.1,13,1,6
16,PittsburghSteelers,16,27,2,436,423,26.4,1,752,4.1,109.5,10,81,98,23.2,9,3,7
17,ClevelandBrowns,16,18,7,299,477,29.8,1,728,3.6,108.0,17,36,88,18.4,10,0,7
18,NewEnglandPatriots,16,29,2,468,438,27.4,1,727,3.9,107.9,13,43,96,21.9,7,1,1
19,WashingtonRedskins,16,18,8,301,401,25.1,1,691,4.2,105.7,15,30,88,21.9,11,0,9
20,St.LouisRams,16,20,2,324,395,24.7,1,635,4.1,102.2,11,89T,79,20.0,7,1,7
21,JacksonvilleJaguars,16,15,6,249,360,22.5,1,633,4.5,102.1,9,62T,86,23.9,15,2,6
22,IndianapolisColts,16,28,6,458,415,25.9,1,612,3.9,100.8,9,49T,80,19.3,7,1,10
23,NewYorkGiants,16,23,8,380,449,28.1,1,603,3.6,100.2,13,50T,83,18.5,4,2,1
24,AtlantaFalcons,16,23,8,381,372,23.2,1,498,4.0,93.6,11,55,75,20.2,7,2,4
25,BuffaloBills,16,21,4,343,402,25.1,1,482,3.7,92.6,7,53,65,16.2,7,3,5
26,TennesseeTitans,16,15,9,254,356,22.2,1,447,4.1,90.4,6,52,75,21.1,7,1,5
27,ChicagoBears,16,19,9,319,355,22.2,1,441,4.1,90.1,8,32,91,25.6,5,0,6
28,DetroitLions,16,20,1,321,396,24.8,1,422,3.6,88.9,11,57,72,18.2,6,1,7
29,TampaBayBuccaneers,16,17,3,277,353,22.1,1,375,3.9,85.9,7,63,72,20.4,8,3,5
30,SanDiegoChargers,16,21,8,348,398,24.9,1,367,3.4,85.4,6,52,75,18.8,6,1,5
31,ArizonaCardinals,16,19,4,310,397,24.8,1,308,3.3,81.8,6,22,67,16.9,6,0,4
32,OaklandRaiders,16,15,8,253,337,21.1,1,240,3.7,77.5,4,90T,56,16.6,6,2,10
