Rk,Team,G,Pts/G,TotPts,ScrmPlys,Yds/G,Yds/P,1st/G,3rdMd,3rdAtt,3rdPct,4thMd,4thAtt,4thPct,Pen,PenYds,ToP/G,FUM,Lost,TO
1,NewOrleansSaints,16,29,3,469,1,105,426.0,6.2,24.7,107,220,49,13,15,87,107,969,30:57,17,9,-3
2,AtlantaFalcons,16,33,8,540,995,415.8,6.7,23.7,75,178,42,8,14,57,104,847,30:22,8,4,+11
3,WashingtonRedskins,16,24,8,396,1,009,403.4,6.4,21.6,90,199,45,7,14,50,110,909,30:05,19,9,0
4,NewEnglandPatriots,16,27,6,441,1,056,386.2,5.9,21.9,104,227,46,8,12,67,93,819,31:13,27,9,+12
5,DallasCowboys,16,26,3,421,1,010,376.7,6.0,22.4,80,189,42,8,9,89,105,879,31:55,22,9,+5
6,OaklandRaiders,16,26,416,1,048,373.3,5.7,20.9,83,218,38,6,13,46,147,1,251,31:44,17,7,+16
7,PittsburghSteelers,16,24,9,399,1,026,372.6,5.8,21.0,83,202,41,9,16,56,113,1,068,30:45,16,3,+5
8,GreenBayPackers,16,27,432,1,029,368.8,5.7,21.8,98,210,47,7,17,41,100,827,31:14,21,9,+8
9,ArizonaCardinals,16,26,1,418,1,086,366.8,5.4,23.0,87,214,41,5,10,50,104,889,30:53,27,11,0
10,IndianapolisColts,16,25,7,411,1,037,364.4,5.6,21.9,87,202,43,8,18,44,102,883,30:52,16,7,-5
11,TennesseeTitans,16,23,8,381,1,008,358.0,5.7,20.1,100,217,46,4,11,36,110,1,012,30:32,17,7,0
12,SeattleSeahawks,16,22,1,354,1,012,357.2,5.6,19.6,79,207,38,4,11,36,117,970,30:03,22,6,+1
13,CincinnatiBengals,16,20,3,325,1,050,356.9,5.4,21.3,82,210,39,7,9,78,88,726,30:20,20,9,+3
14,SanDiegoChargers,16,25,6,410,1,014,356.8,5.6,21.2,85,200,42,6,12,50,107,780,30:33,22,14,-7
15,ChicagoBears,16,17,4,279,967,356.5,5.9,20.2,70,185,38,4,14,29,110,967,28:07,26,12,-20
16,BuffaloBills,16,24,9,399,1,012,354.1,5.6,20.5,86,210,41,8,15,53,112,960,29:48,15,5,+6
17,BaltimoreRavens,16,21,4,343,1,079,347.7,5.2,19.8,86,233,37,8,19,42,125,1,111,30:46,19,7,+5
18,TampaBayBuccaneers,16,22,1,354,1,066,346.4,5.2,21.2,94,214,44,4,9,44,109,926,30:57,19,9,+2
19,CarolinaPanthers,16,23,1,369,1,052,343.7,5.2,19.9,83,223,37,11,17,65,98,850,30:50,13,10,-2
20,KansasCityChiefs,16,24,3,389,990,343.0,5.5,19.1,81,213,38,10,14,71,109,848,30:36,18,9,+16
21,DetroitLions,16,21,6,346,981,338.8,5.5,20.6,83,195,43,7,10,70,100,861,30:07,9,5,-1
22,PhiladelphiaEagles,16,22,9,367,1,080,337.4,5.0,20.8,85,224,38,13,27,48,113,945,32:31,24,6,+6
23,JacksonvilleJaguars,16,19,9,318,1,052,334.9,5.1,20.1,78,221,35,7,16,44,129,1,178,29:09,23,13,-16
24,MiamiDolphins,16,22,7,363,912,332.8,5.8,17.4,69,188,37,0,4,0,125,1,141,28:60,26,8,+2
25,NewYorkGiants,16,19,4,310,1,018,330.7,5.2,18.1,78,219,36,9,19,47,88,857,28:19,22,11,-2
26,NewYorkJets,16,17,2,275,1,003,329.2,5.3,18.2,76,210,36,8,19,42,93,837,30:41,24,9,-20
27,DenverBroncos,16,20,8,333,1,020,323.1,5.1,18.1,75,219,34,9,17,53,119,985,29:03,24,14,+2
28,MinnesotaVikings,16,20,4,327,1,006,315.1,5.0,18.9,81,213,38,8,18,44,103,882,30:36,20,11,+11
29,HoustonTexans,16,17,4,279,1,071,314.7,4.7,19.1,87,233,37,9,23,39,87,868,31:34,20,8,-7
30,ClevelandBrowns,16,16,5,264,983,311.0,5.1,18.5,77,212,36,13,18,72,95,736,28:16,26,11,-12
31,SanFrancisco49ers,16,19,3,309,996,308.1,4.9,17.9,78,222,35,10,19,53,99,831,26:56,29,15,-5
32,LosAngelesRams,16,14,224,960,262.7,4.4,15.3,67,213,32,8,20,40,126,1,091,29:21,24,9,-11
