team-away,team-home,score-away,score-home
Panthers,Broncos,20,21
Buccaneers,Falcons,31,24
Bills,Ravens,7,13
Bears,Texans,14,23
Packers,Jaguars,27,23
Chargers,Chiefs,27,33
Raiders,Saints,35,34
Bengals,Jets,23,22
Browns,Eagles,10,29
Vikings,Titans,25,16
Dolphins,Seahawks,10,12
Giants,Cowboys,20,19
Lions,Colts,39,35
Patriots,Cardinals,23,21
Steelers,Redskins,38,16
Rams,49ers,0,28
Jets,Bills,37,31
49ers,Panthers,27,46
Ravens,Browns,25,20
Titans,Lions,16,15
Chiefs,Texans,12,19
Dolphins,Patriots,24,31
Saints,Giants,13,16
Bengals,Steelers,16,24
Cowboys,Redskins,27,23
Buccaneers,Cardinals,7,40
Seahawks,Rams,3,9
Colts,Broncos,20,34
Falcons,Raiders,35,28
Jaguars,Chargers,14,38
Packers,Vikings,14,17
Eagles,Bears,29,14
Texans,Patriots,0,27
Cardinals,Bills,18,33
Vikings,Panthers,22,10
Broncos,Bengals,29,17
Lions,Packers,27,34
Ravens,Jaguars,19,17
Browns,Dolphins,24,30
Redskins,Giants,29,27
Raiders,Titans,17,10
49ers,Seahawks,18,37
Rams,Buccaneers,37,32
Steelers,Eagles,3,34
Chargers,Colts,22,26
Jets,Chiefs,3,24
Bears,Cowboys,17,31
Falcons,Saints,45,32
Dolphins,Bengals,7,22
Colts,Jaguars,27,30
Panthers,Falcons,33,48
Raiders,Ravens,28,27
Lions,Bears,14,17
Titans,Texans,20,27
Bills,Patriots,16,0
Seahawks,Jets,27,17
Browns,Redskins,20,31
Broncos,Buccaneers,27,7
Rams,Cardinals,17,13
Saints,Chargers,35,34
Cowboys,49ers,24,17
Chiefs,Steelers,14,43
Giants,Vikings,10,24
Cardinals,49ers,33,21
Redskins,Ravens,16,10
Patriots,Browns,33,13
Eagles,Lions,23,24
Bears,Colts,23,29
Titans,Dolphins,30,17
Texans,Vikings,13,31
Jets,Steelers,13,31
Falcons,Broncos,23,16
Bengals,Cowboys,14,28
Bills,Rams,30,19
Chargers,Raiders,31,34
Giants,Packers,16,23
Buccaneers,Panthers,17,14
Broncos,Chargers,13,21
49ers,Bills,16,45
Jaguars,Bears,17,16
Rams,Lions,28,31
Steelers,Dolphins,15,30
Bengals,Patriots,17,35
Panthers,Saints,38,41
Ravens,Giants,23,27
Browns,Titans,26,28
Eagles,Redskins,20,27
Chiefs,Raiders,26,10
Cowboys,Packers,30,16
Falcons,Seahawks,24,26
Colts,Texans,23,26
Jets,Cardinals,3,28
Bears,Packers,10,26
Giants,Rams,17,10
Browns,Bengals,17,31
Redskins,Lions,17,20
Raiders,Jaguars,33,16
Saints,Chiefs,21,27
Bills,Dolphins,25,28
Ravens,Jets,16,24
Vikings,Eagles,10,21
Colts,Titans,34,26
Chargers,Falcons,33,30
Buccaneers,49ers,34,17
Patriots,Steelers,27,16
Seahawks,Cardinals,6,6
Texans,Broncos,9,27
Jaguars,Titans,22,36
Redskins,Bengals,27,27
Packers,Falcons,32,33
Patriots,Bills,41,25
Jets,Browns,31,28
Lions,Texans,13,20
Chiefs,Colts,30,14
Seahawks,Saints,20,25
Raiders,Buccaneers,30,24
Chargers,Broncos,19,27
Cardinals,Panthers,20,30
Eagles,Cowboys,23,29
Vikings,Bears,10,20
Falcons,Buccaneers,43,28
Broncos,Raiders,20,30
Steelers,Ravens,14,21
Cowboys,Browns,35,10
Jaguars,Chiefs,14,19
Jets,Dolphins,23,27
Lions,Vikings,22,16
Eagles,Giants,23,28
Panthers,Rams,13,10
Saints,49ers,41,23
Colts,Packers,31,26
Titans,Chargers,35,43
Bills,Seahawks,25,31
Browns,Ravens,7,28
Chiefs,Panthers,20,17
Texans,Jaguars,24,21
Broncos,Saints,25,23
Rams,Jets,9,6
Falcons,Eagles,15,24
Bears,Buccaneers,10,36
Packers,Titans,25,47
Vikings,Redskins,20,26
Dolphins,Chargers,31,24
49ers,Cardinals,20,23
Cowboys,Steelers,35,30
Seahawks,Patriots,31,24
Bengals,Giants,20,21
Saints,Panthers,20,23
Bills,Bengals,16,12
Steelers,Browns,24,9
Ravens,Cowboys,17,27
Jaguars,Lions,19,26
Titans,Colts,17,24
Buccaneers,Chiefs,19,17
Cardinals,Vikings,24,30
Bears,Giants,16,22
Dolphins,Rams,14,10
Patriots,49ers,30,17
Eagles,Seahawks,15,26
Packers,Redskins,24,42
Texans,Raiders,20,27
Vikings,Lions,13,16
Redskins,Cowboys,26,31
Steelers,Colts,28,7
Cardinals,Falcons,19,38
Bengals,Ravens,14,19
Jaguars,Bills,21,28
Titans,Bears,27,21
Giants,Browns,27,13
Chargers,Texans,21,13
49ers,Dolphins,24,31
Rams,Saints,21,49
Seahawks,Buccaneers,5,14
Chiefs,Broncos,30,27
Panthers,Raiders,32,35
Patriots,Jets,22,17
Packers,Eagles,27,13
Cowboys,Vikings,17,15
Chiefs,Falcons,29,28
Dolphins,Ravens,6,38
49ers,Bears,6,26
Eagles,Bengals,14,32
Texans,Packers,13,21
Broncos,Jaguars,20,10
Rams,Patriots,10,26
Lions,Saints,28,13
Bills,Raiders,24,38
Redskins,Cardinals,23,31
Giants,Steelers,14,24
Buccaneers,Chargers,28,21
Panthers,Seahawks,7,40
Colts,Jets,41,10
Raiders,Chiefs,13,21
Steelers,Bills,27,20
Chargers,Panthers,16,28
Bengals,Browns,23,10
Bears,Lions,17,20
Texans,Colts,22,17
Vikings,Jaguars,25,16
Cardinals,Dolphins,23,26
Redskins,Eagles,27,22
Saints,Buccaneers,11,16
Broncos,Titans,10,13
Jets,49ers,23,17
Seahawks,Packers,10,38
Falcons,Rams,42,14
Cowboys,Giants,7,10
Ravens,Patriots,23,30
Rams,Seahawks,3,24
Dolphins,Jets,34,13
Eagles,Ravens,26,27
Browns,Bills,13,33
Packers,Bears,30,27
Buccaneers,Cowboys,20,26
Jaguars,Texans,20,21
Titans,Chiefs,19,17
Colts,Vikings,34,6
Lions,Giants,6,17
Saints,Cardinals,48,41
49ers,Falcons,13,41
Patriots,Broncos,16,3
Raiders,Chargers,19,16
Steelers,Bengals,24,20
Panthers,Redskins,26,15
Giants,Eagles,19,24
Dolphins,Bills,34,31
Falcons,Panthers,33,16
Redskins,Bears,41,21
Chargers,Browns,17,20
Vikings,Packers,25,38
Titans,Jaguars,17,38
Jets,Patriots,3,41
Buccaneers,Saints,24,31
Colts,Raiders,25,33
49ers,Rams,22,21
Cardinals,Seahawks,34,31
Bengals,Texans,10,12
Ravens,Steelers,27,31
Broncos,Chiefs,10,33
Lions,Cowboys,21,42
Saints,Falcons,32,38
Ravens,Bengals,10,27
Packers,Lions,31,24
Jaguars,Colts,20,24
Patriots,Dolphins,35,14
Bears,Vikings,10,38
Bills,Jets,10,30
Cowboys,Eagles,13,27
Browns,Steelers,24,27
Panthers,Buccaneers,16,17
Texans,Titans,17,24
Giants,Redskins,19,10
Raiders,Broncos,6,24
Cardinals,Rams,44,6
Chiefs,Chargers,37,27
Seahawks,49ers,25,23
