Rk,Team,G,Pts/G,TotPts,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
1,BuffaloBills,16,24,9,399,492,30.8,2,630,5.3,164.4,29,75T,146,29.7,27,5,11
2,DallasCowboys,16,26,3,421,499,31.2,2,396,4.8,149.8,24,60T,142,28.5,17,3,9
3,TennesseeTitans,16,23,8,381,476,29.8,2,187,4.6,136.7,16,75T,115,24.2,8,3,10
4,SanFrancisco49ers,16,19,3,309,458,28.6,2,019,4.4,126.2,15,47,116,25.3,11,2,8
5,AtlantaFalcons,16,33,8,540,421,26.3,1,928,4.6,120.5,20,75T,108,25.7,15,4,3
6,OaklandRaiders,16,26,416,434,27.1,1,922,4.4,120.1,17,75T,98,22.6,19,2,8
7,NewEnglandPatriots,16,27,6,441,482,30.1,1,872,3.9,117.0,19,44,109,22.6,8,3,8
8,HoustonTexans,16,17,4,279,456,28.5,1,859,4.1,116.2,8,45,102,22.4,10,1,8
9,MiamiDolphins,16,22,7,363,405,25.3,1,824,4.5,114.0,14,62T,90,22.2,12,5,11
10,CarolinaPanthers,16,23,1,369,453,28.3,1,814,4.0,113.4,16,47,99,21.9,10,1,6
11,PhiladelphiaEagles,16,22,9,367,438,27.4,1,813,4.1,113.3,16,30,114,26.0,7,0,9
12,NewYorkJets,16,17,2,275,418,26.1,1,802,4.3,112.6,10,35T,97,23.2,11,0,6
13,CincinnatiBengals,16,20,3,325,446,27.9,1,769,4.0,110.6,17,74T,100,22.4,6,3,5
14,PittsburghSteelers,16,24,9,399,409,25.6,1,760,4.3,110.0,13,60T,97,23.7,5,2,6
15,KansasCityChiefs,16,24,3,389,412,25.8,1,748,4.2,109.2,15,70T,86,20.9,12,5,5
16,NewOrleansSaints,16,29,3,469,404,25.2,1,742,4.3,108.9,17,75T,105,26.0,8,2,2
17,ChicagoBears,16,17,4,279,380,23.8,1,735,4.6,108.4,10,69,93,24.5,13,2,9
18,ArizonaCardinals,16,26,1,418,399,24.9,1,732,4.3,108.2,20,58T,97,24.3,10,4,11
19,ClevelandBrowns,16,16,5,264,350,21.9,1,712,4.9,107.0,13,85T,83,23.7,12,3,12
20,GreenBayPackers,16,27,432,374,23.4,1,701,4.5,106.3,11,61,91,24.3,13,2,5
21,WashingtonRedskins,16,24,8,396,379,23.7,1,696,4.5,106.0,17,66,89,23.5,10,4,7
22,JacksonvilleJaguars,16,19,9,318,392,24.5,1,631,4.2,101.9,8,57T,75,19.1,7,3,9
23,IndianapolisColts,16,25,7,411,409,25.6,1,628,4.0,101.8,13,33,93,22.7,4,0,5
24,TampaBayBuccaneers,16,22,1,354,453,28.3,1,616,3.6,101.0,8,45,80,17.7,5,2,8
25,SeattleSeahawks,16,22,1,354,403,25.2,1,591,3.9,99.4,13,75T,85,21.1,7,4,6
26,SanDiegoChargers,16,25,6,410,398,24.9,1,510,3.8,94.4,10,48,90,22.6,9,3,6
27,DenverBroncos,16,20,8,333,410,25.6,1,484,3.6,92.8,11,64,76,18.5,4,1,5
28,BaltimoreRavens,16,21,4,343,367,22.9,1,463,4.0,91.4,10,41,79,21.5,8,1,4
29,NewYorkGiants,16,19,4,310,398,24.9,1,412,3.5,88.2,6,25,73,18.3,7,0,2
30,DetroitLions,16,21,6,346,350,21.9,1,310,3.7,81.9,9,42,76,21.7,6,1,2
31,LosAngelesRams,16,14,224,375,23.4,1,252,3.3,78.2,9,30T,68,18.1,6,0,6
32,MinnesotaVikings,16,20,4,327,380,23.8,1,205,3.2,75.3,9,36,66,17.4,6,0,3
