team-away,team-home,score-away,score-home
Cowboys,Giants,24,17
Colts,Bears,21,41
Jaguars,Vikings,23,26
Bills,Jets,28,48
Dolphins,Texans,10,30
Patriots,Titans,34,13
Rams,Lions,23,27
Redskins,Saints,40,32
Eagles,Browns,17,16
Falcons,Chiefs,40,24
49ers,Packers,30,22
Seahawks,Cardinals,16,20
Panthers,Buccaneers,10,16
Steelers,Broncos,19,31
Bengals,Ravens,13,44
Chargers,Raiders,22,14
Bears,Packers,10,23
Buccaneers,Giants,34,41
Saints,Panthers,27,35
Cardinals,Patriots,20,18
Vikings,Colts,20,23
Ravens,Eagles,23,24
Chiefs,Bills,17,35
Browns,Bengals,27,34
Texans,Jaguars,27,7
Cowboys,Seahawks,7,27
Redskins,Rams,28,31
Jets,Steelers,10,27
Titans,Chargers,10,38
Raiders,Dolphins,13,35
Lions,49ers,19,27
Broncos,Falcons,21,27
Giants,Panthers,36,7
Buccaneers,Cowboys,10,16
Rams,Bears,6,23
49ers,Vikings,13,24
Lions,Titans,41,44
Bengals,Redskins,38,31
Chiefs,Saints,27,24
Jets,Dolphins,23,20
Bills,Browns,24,14
Jaguars,Colts,22,17
Eagles,Cardinals,6,27
Falcons,Chargers,27,3
Texans,Broncos,31,25
Steelers,Raiders,31,34
Patriots,Ravens,30,31
Packers,Seahawks,12,14
Browns,Ravens,16,23
Patriots,Bills,52,28
Titans,Texans,14,38
Chargers,Chiefs,37,20
Vikings,Lions,20,13
Panthers,Falcons,28,30
Seahawks,Rams,13,19
49ers,Jets,34,0
Dolphins,Cardinals,21,24
Raiders,Broncos,6,37
Bengals,Jaguars,27,10
Saints,Packers,27,28
Redskins,Buccaneers,24,22
Giants,Eagles,17,19
Bears,Cowboys,34,18
Cardinals,Rams,3,17
Falcons,Redskins,24,17
Eagles,Steelers,14,16
Packers,Colts,27,30
Browns,Giants,27,41
Titans,Vikings,7,30
Dolphins,Bengals,17,13
Ravens,Chiefs,9,6
Seahawks,Panthers,16,12
Bears,Jaguars,41,3
Broncos,Patriots,21,31
Bills,49ers,3,45
Chargers,Saints,24,31
Texans,Jets,23,17
Steelers,Titans,23,26
Raiders,Falcons,20,23
Chiefs,Buccaneers,10,38
Colts,Jets,9,35
Bengals,Browns,24,34
Lions,Eagles,26,23
Rams,Dolphins,14,17
Cowboys,Ravens,29,31
Bills,Cardinals,19,16
Patriots,Seahawks,23,24
Giants,49ers,26,3
Vikings,Redskins,26,38
Packers,Texans,42,24
Broncos,Chargers,35,24
Seahawks,49ers,6,13
Redskins,Giants,23,27
Cardinals,Vikings,14,21
Cowboys,Panthers,19,14
Saints,Buccaneers,35,28
Packers,Rams,30,20
Ravens,Texans,13,43
Browns,Colts,13,17
Titans,Bills,35,34
Jets,Patriots,26,29
Jaguars,Raiders,23,26
Steelers,Bengals,24,17
Lions,Bears,7,13
Buccaneers,Vikings,36,17
Jaguars,Packers,15,24
Dolphins,Jets,30,9
Chargers,Browns,6,7
Colts,Titans,19,13
Patriots,Rams,45,7
Falcons,Eagles,30,17
Panthers,Bears,22,23
Seahawks,Lions,24,28
Redskins,Steelers,12,27
Raiders,Chiefs,26,16
Giants,Cowboys,29,24
Saints,Broncos,14,34
49ers,Cardinals,24,3
Chiefs,Chargers,13,31
Panthers,Redskins,21,13
Cardinals,Packers,17,31
Lions,Jaguars,31,14
Bears,Titans,51,20
Broncos,Bengals,31,23
Ravens,Browns,25,15
Bills,Texans,9,21
Dolphins,Colts,20,23
Vikings,Seahawks,20,30
Buccaneers,Raiders,42,32
Steelers,Giants,24,20
Cowboys,Falcons,13,19
Eagles,Saints,13,28
Colts,Jaguars,27,10
Broncos,Panthers,36,14
Chargers,Buccaneers,24,34
Titans,Dolphins,37,3
Bills,Patriots,31,37
Raiders,Ravens,20,55
Giants,Bengals,13,31
Falcons,Saints,27,31
Lions,Vikings,24,34
Jets,Seahawks,7,28
Cowboys,Eagles,38,23
Rams,49ers,24,24
Texans,Bears,13,6
Chiefs,Steelers,13,16
Dolphins,Bills,14,19
Eagles,Redskins,6,31
Packers,Lions,24,20
Cardinals,Falcons,19,23
Buccaneers,Panthers,27,21
Browns,Cowboys,20,23
Jets,Rams,27,13
Colts,Patriots,24,59
Jaguars,Texans,37,43
Bengals,Chiefs,28,6
Saints,Raiders,38,17
Chargers,Broncos,23,30
Ravens,Steelers,13,10
Bears,49ers,7,32
Texans,Lions,34,31
Redskins,Cowboys,38,31
Patriots,Jets,49,19
Raiders,Bengals,10,34
Steelers,Browns,14,20
Bills,Colts,13,20
Titans,Jaguars,19,24
Broncos,Chiefs,17,9
Vikings,Bears,10,28
Falcons,Buccaneers,24,23
Seahawks,Dolphins,21,24
Ravens,Chargers,16,13
49ers,Saints,31,21
Rams,Cardinals,31,17
Packers,Giants,10,38
Panthers,Eagles,30,22
Saints,Falcons,13,23
Seahawks,Bears,23,17
Vikings,Packers,14,23
49ers,Rams,13,16
Cardinals,Jets,6,7
Panthers,Chiefs,21,27
Colts,Lions,35,33
Jaguars,Bills,18,34
Patriots,Dolphins,23,16
Texans,Titans,24,10
Buccaneers,Broncos,23,31
Steelers,Ravens,23,20
Browns,Raiders,20,17
Bengals,Chargers,20,13
Eagles,Cowboys,33,38
Giants,Redskins,16,17
Broncos,Raiders,26,13
Ravens,Redskins,28,31
Chiefs,Browns,7,30
Chargers,Steelers,34,24
Titans,Colts,23,27
Jets,Jaguars,17,10
Bears,Vikings,14,21
Falcons,Panthers,20,30
Eagles,Buccaneers,23,21
Rams,Bills,15,12
Cowboys,Bengals,20,19
Dolphins,49ers,13,27
Saints,Giants,27,52
Cardinals,Seahawks,0,58
Lions,Packers,20,27
Texans,Patriots,14,42
Bengals,Eagles,34,13
Packers,Bears,21,13
Giants,Falcons,0,34
Buccaneers,Saints,0,41
Vikings,Rams,36,22
Redskins,Browns,38,21
Jaguars,Dolphins,3,24
Broncos,Ravens,34,17
Colts,Texans,17,29
Lions,Cardinals,10,38
Panthers,Chargers,31,7
Seahawks,Bills,50,17
Steelers,Cowboys,24,27
Chiefs,Raiders,0,15
49ers,Patriots,41,34
Jets,Titans,10,14
Falcons,Lions,31,18
Titans,Packers,7,55
Raiders,Panthers,6,17
Bills,Dolphins,10,24
Bengals,Steelers,13,10
Patriots,Jaguars,23,16
Colts,Chiefs,20,13
Saints,Cowboys,34,31
Redskins,Eagles,27,20
Rams,Buccaneers,28,13
Giants,Ravens,14,33
Vikings,Texans,23,6
