Rk,Team,G,Pts/G,TotPts,ScrmPlys,Yds/G,Yds/P,1st/G,3rdMd,3rdAtt,3rdPct,4thMd,4thAtt,4thPct,Pen,PenYds,ToP/G,FUM,Lost
1,NewOrleansSaints,16,28,4,454,1,089,440.1,6.5,23.8,80,208,38,10,19,53,102,835,31:50,19,11
2,NewYorkGiants,16,21,5,344,1,016,383.4,6.0,19.8,84,198,42,10,21,48,102,900,30:50,25,14
3,JacksonvilleJaguars,16,27,8,444,1,100,380.5,5.5,22.8,89,215,41,4,9,44,101,820,33:12,17,11
4,TampaBayBuccaneers,16,24,6,394,1,031,379.9,5.9,20.6,88,219,40,6,14,43,103,851,29:57,16,8
5,WashingtonRedskins,16,24,2,388,1,031,377.7,5.9,21.2,95,215,44,8,14,57,100,811,29:01,17,10
6,TennesseeTitans,16,29,4,471,1,086,374.9,5.5,22.4,85,214,40,6,14,43,86,717,33:09,15,5
7,IndianapolisColts,16,24,2,387,995,374.2,6.0,20.3,75,197,38,3,7,43,128,1,208,29:33,11,3
8,NewEnglandPatriots,16,20,7,331,1,046,373.2,5.7,21.2,82,205,40,9,23,39,101,932,29:33,42,21
9,AtlantaFalcons,16,18,7,299,991,365.6,5.9,18.6,81,200,40,6,13,46,83,641,29:08,16,11
10,ClevelandBrowns,16,23,368,1,095,363.8,5.3,21.6,85,223,38,7,11,64,120,1,008,32:19,25,12
11,BuffaloBills,16,27,2,435,1,042,362.9,5.6,21.8,92,209,44,6,12,50,80,693,30:03,26,9
12,MiamiDolphins,16,19,8,317,1,073,356.8,5.3,20.0,87,238,37,12,17,71,121,1,045,31:58,23,6
13,KansasCityChiefs,16,26,6,425,973,356.5,5.9,18.8,79,202,39,3,4,75,81,670,30:16,19,6
14,DallasCowboys,16,25,400,986,355.4,5.8,19.8,81,202,40,6,11,54,89,726,29:54,18,9
15,OaklandRaiders,16,27,7,443,995,354.5,5.7,19.0,83,212,39,8,14,57,101,925,30:38,14,8
16,BaltimoreRavens,16,21,5,344,1,086,350.9,5.2,20.4,83,232,36,6,12,50,107,929,32:25,23,12
17,MinnesotaVikings,16,21,8,348,1,083,350.0,5.2,21.6,95,230,41,11,20,55,111,949,31:34,23,12
18,PhiladelphiaEagles,16,27,8,444,994,343.2,5.5,19.8,83,203,41,2,10,20,118,996,30:31,21,5
19,St.LouisRams,16,21,8,348,1,041,342.6,5.3,20.4,80,213,38,6,16,38,90,758,32:04,17,4
20,DetroitLions,16,27,3,437,998,341.1,5.5,19.1,76,208,36,5,6,83,93,789,29:29,19,6
21,ArizonaCardinals,16,22,3,357,1,041,337.8,5.2,18.0,73,222,33,4,9,44,100,810,31:19,17,11
22,GreenBayPackers,16,21,336,1,033,336.8,5.2,19.2,83,218,38,9,23,39,123,1,055,29:34,18,5
23,CarolinaPanthers,16,22,7,363,1,010,333.1,5.3,20.3,73,202,36,10,19,53,86,711,30:25,18,12
24,SanDiegoChargers,16,21,9,350,1,012,326.4,5.2,19.8,90,214,42,4,10,40,102,798,29:15,29,14
25,NewYorkJets,16,23,4,375,1,019,323.4,5.1,18.3,84,226,37,12,15,80,109,805,30:36,16,12
26,HoustonTexans,16,20,7,331,1,015,323.2,5.1,18.2,71,215,33,5,16,31,90,863,27:50,23,14
27,CincinnatiBengals,16,20,320,1,034,319.7,4.9,19.2,79,219,36,5,12,42,90,779,29:34,26,16
28,ChicagoBears,16,17,3,277,1,021,315.6,4.9,17.9,78,220,36,10,16,62,78,704,28:40,35,20
29,SeattleSeahawks,16,15,3,245,968,306.2,5.1,18.4,76,198,38,3,10,30,102,902,28:38,27,13
30,SanFrancisco49ers,16,17,1,273,1,012,294.4,4.7,17.8,71,215,33,14,25,56,93,758,30:05,21,11
31,DenverBroncos,16,18,1,289,1,015,290.8,4.6,17.9,66,216,31,7,18,39,123,951,28:44,23,8
32,PittsburghSteelers,16,19,6,314,951,275.8,4.6,17.1,73,206,35,8,11,73,100,882,27:57,19,10
