team-away,team-home,score-away,score-home
Vikings,Saints,9,14
Browns,Buccaneers,14,17
Dolphins,Bills,15,10
Bengals,Patriots,24,38
Colts,Texans,24,34
Broncos,Jaguars,17,24
Raiders,Titans,13,38
Panthers,Giants,18,31
Lions,Bears,14,19
Cardinals,Rams,17,13
Falcons,Steelers,9,15
Packers,Eagles,27,20
49ers,Seahawks,6,31
Cowboys,Redskins,7,13
Ravens,Jets,10,9
Chargers,Chiefs,14,21
Texans,Redskins,30,27
Bills,Packers,7,34
Dolphins,Vikings,14,10
Chiefs,Browns,16,14
Steelers,Titans,19,11
Bears,Cowboys,27,20
Eagles,Lions,35,32
Cardinals,Falcons,7,41
Buccaneers,Panthers,20,7
Seahawks,Broncos,14,31
Rams,Raiders,14,16
Patriots,Jets,14,28
Ravens,Bengals,10,15
Jaguars,Chargers,13,38
Giants,Colts,14,38
Saints,49ers,25,22
Titans,Giants,29,10
Bengals,Panthers,20,7
Steelers,Buccaneers,38,13
Bills,Patriots,30,38
Browns,Ravens,17,24
Lions,Vikings,10,24
Falcons,Saints,27,24
Redskins,Rams,16,30
Cowboys,Texans,27,13
49ers,Chiefs,10,31
Eagles,Jaguars,28,3
Colts,Broncos,27,13
Raiders,Cardinals,23,24
Chargers,Seahawks,20,27
Jets,Dolphins,31,23
Packers,Bears,17,20
Jets,Bills,38,14
Bengals,Browns,20,23
Ravens,Steelers,17,14
Broncos,Titans,26,20
Lions,Packers,26,28
49ers,Falcons,14,16
Panthers,Saints,14,16
Seahawks,Rams,3,20
Colts,Jaguars,28,31
Texans,Raiders,31,24
Redskins,Eagles,17,12
Cardinals,Chargers,10,41
Bears,Giants,3,17
Patriots,Dolphins,41,14
Jaguars,Bills,36,26
Broncos,Ravens,17,31
Chiefs,Colts,9,19
Packers,Redskins,13,16
Rams,Lions,6,44
Bears,Panthers,23,6
Buccaneers,Bengals,24,21
Falcons,Browns,20,10
Giants,Texans,34,10
Saints,Cardinals,20,30
Titans,Cowboys,34,27
Chargers,Raiders,27,35
Eagles,49ers,27,24
Vikings,Jets,20,29
Dolphins,Packers,23,20
Chargers,Rams,17,20
Ravens,Patriots,20,23
Browns,Steelers,10,28
Chiefs,Texans,31,35
Lions,Giants,20,28
Falcons,Eagles,17,31
Seahawks,Bears,23,20
Saints,Buccaneers,31,6
Jets,Broncos,24,20
Raiders,49ers,9,17
Cowboys,Vikings,21,24
Colts,Redskins,27,24
Titans,Jaguars,30,3
Bengals,Falcons,32,39
Steelers,Dolphins,23,22
Bills,Ravens,34,37
Jaguars,Chiefs,20,42
Browns,Saints,30,17
Redskins,Bears,17,14
49ers,Panthers,20,23
Rams,Buccaneers,17,18
Eagles,Titans,19,37
Cardinals,Seahawks,10,22
Patriots,Chargers,23,20
Raiders,Broncos,59,14
Vikings,Packers,24,28
Giants,Cowboys,41,35
Broncos,49ers,16,24
Jaguars,Cowboys,35,17
Dolphins,Bengals,22,14
Bills,Chiefs,10,13
Redskins,Lions,25,37
Panthers,Rams,10,20
Packers,Jets,9,0
Titans,Chargers,25,33
Vikings,Patriots,18,28
Buccaneers,Cardinals,38,35
Seahawks,Raiders,3,33
Steelers,Saints,10,20
Texans,Colts,17,30
Ravens,Falcons,21,26
Titans,Dolphins,17,29
Jets,Browns,26,20
Bengals,Colts,17,23
Texans,Jaguars,24,31
Vikings,Bears,13,27
Panthers,Buccaneers,16,31
Lions,Bills,12,14
Chiefs,Broncos,29,49
Cowboys,Giants,33,20
Seahawks,Cardinals,36,18
Rams,49ers,20,23
Patriots,Steelers,39,26
Eagles,Redskins,59,28
Ravens,Falcons,21,26
Titans,Dolphins,17,29
Jets,Browns,26,20
Bengals,Colts,17,23
Texans,Jaguars,24,31
Vikings,Bears,13,27
