team-away,team-home,score-away,score-home
Panthers,Buccaneers,16,31
Lions,Bills,12,14
Chiefs,Broncos,29,49
Cowboys,Giants,33,20
Seahawks,Cardinals,36,18
Rams,49ers,20,23
Patriots,Steelers,39,26
Eagles,Redskins,59,28
Bears,Dolphins,16,0
Ravens,Panthers,37,13
Texans,Jets,27,30
Bills,Bengals,49,31
Raiders,Steelers,3,35
Browns,Jaguars,20,24
Lions,Cowboys,19,35
Packers,Vikings,31,3
Seahawks,Saints,19,34
Redskins,Titans,19,16
Cardinals,Chiefs,13,31
Falcons,Rams,34,17
Buccaneers,49ers,21,0
Colts,Patriots,28,31
Giants,Eagles,17,27
Broncos,Chargers,14,35
Patriots,Lions,45,24
Saints,Cowboys,30,27
Bengals,Jets,10,26
Jaguars,Giants,20,24
Steelers,Bills,19,16
Titans,Texans,0,20
Vikings,Redskins,17,13
Eagles,Bears,26,31
Packers,Falcons,17,20
Buccaneers,Ravens,10,17
Panthers,Browns,23,24
Chiefs,Seahawks,42,24
Dolphins,Raiders,33,17
Rams,Broncos,36,33
Chargers,Colts,36,14
49ers,Cardinals,27,6
Texans,Eagles,24,34
Bills,Vikings,14,38
Browns,Dolphins,13,10
Jaguars,Titans,17,6
Broncos,Chiefs,6,10
Redskins,Giants,7,31
Bears,Lions,24,20
49ers,Packers,16,34
Falcons,Buccaneers,28,24
Saints,Bengals,34,30
Raiders,Chargers,28,13
Cowboys,Colts,38,35
Rams,Cardinals,19,6
Panthers,Seahawks,14,31
Steelers,Ravens,13,10
Jets,Patriots,3,45
Colts,Titans,30,28
Patriots,Bears,36,7
Browns,Bills,6,13
Bengals,Steelers,7,23
Raiders,Jaguars,31,38
Buccaneers,Redskins,17,16
Packers,Lions,3,7
Falcons,Panthers,31,10
Rams,Saints,13,31
Seahawks,49ers,21,40
Dolphins,Jets,10,6
Broncos,Cardinals,13,43
Chiefs,Chargers,0,31
Eagles,Cowboys,30,27
Ravens,Texans,34,28
Giants,Vikings,21,3
49ers,Chargers,7,34
Chiefs,Rams,27,13
Bills,Dolphins,17,14
Browns,Bengals,17,19
Jaguars,Colts,24,34
Texans,Titans,17,31
Redskins,Cowboys,30,33
Eagles,Giants,38,31
Cardinals,Panthers,12,19
Lions,Buccaneers,23,20
Saints,Ravens,24,30
Falcons,Seahawks,34,18
Jets,Steelers,22,17
Broncos,Raiders,23,39
Packers,Patriots,27,31
Bears,Vikings,40,14
Panthers,Steelers,3,27
Cowboys,Cardinals,26,27
Jets,Bears,34,38
Patriots,Bills,34,3
Ravens,Browns,20,10
Titans,Chiefs,14,34
Seahawks,Buccaneers,15,38
49ers,Rams,17,25
Lions,Dolphins,34,27
Redskins,Jaguars,20,17
Texans,Broncos,23,24
Colts,Raiders,31,26
Giants,Packers,17,45
Chargers,Bengals,20,34
Saints,Falcons,17,14
Vikings,Eagles,24,14
Dolphins,Patriots,7,38
Bills,Jets,7,38
Bengals,Ravens,7,13
Steelers,Browns,41,9
Jaguars,Texans,17,34
Titans,Colts,20,23
Raiders,Chiefs,31,10
Cowboys,Eagles,14,13
Giants,Redskins,17,14
Vikings,Lions,13,20
Bears,Packers,3,10
Panthers,Falcons,10,31
Buccaneers,Saints,23,13
Chargers,Broncos,33,28
Cardinals,49ers,7,38
Rams,Seahawks,6,16
