Rk,Team,G,Pts/G,TotPts,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
1,BuffaloBills,16,26,6,425,571,35.7,2,714,4.8,169.6,18,43T,138,24.2,16,2,10
2,DenverBroncos,16,29,4,471,531,33.2,2,473,4.7,154.6,26,71T,126,23.7,22,5,13
3,ArizonaCardinals,16,27,1,434,526,32.9,2,323,4.4,145.2,19,48,123,23.4,19,1,10
4,OaklandRaiders,16,23,2,371,474,29.6,2,138,4.5,133.6,14,76T,98,20.7,17,7,6
5,TampaBayBuccaneers,16,19,9,318,444,27.8,2,107,4.7,131.7,12,54,118,26.6,14,1,7
6,ClevelandBrowns,16,20,8,332,505,31.6,2,070,4.1,129.4,7,55,102,20.2,10,1,4
7,WashingtonRedskins,16,23,6,377,444,27.8,2,041,4.6,127.6,15,71,106,23.9,13,4,7
8,IndianapolisColts,16,24,2,388,445,27.8,2,032,4.6,127.0,14,62,111,24.9,16,3,7
9,DetroitLions,16,23,1,369,443,27.7,1,999,4.5,124.9,18,80T,98,22.1,11,3,8
10,CarolinaPanthers,16,25,5,408,503,31.4,1,981,3.9,123.8,20,68T,121,24.1,11,3,9
11,JacksonvilleJaguars,16,26,2,419,416,26.0,1,945,4.7,121.6,19,70,98,23.6,14,5,4
12,SeattleSeahawks,16,25,4,407,452,28.2,1,903,4.2,118.9,13,53,91,20.1,16,3,7
13,TennesseeTitans,16,21,2,339,474,29.6,1,851,3.9,115.7,7,37,107,22.6,11,0,11
14,CincinnatiBengals,16,24,7,395,416,26.0,1,843,4.4,115.2,15,61,97,23.3,17,3,8
15,GreenBayPackers,16,15,240,395,24.7,1,838,4.7,114.9,6,40,82,20.8,10,1,6
16,St.LouisRams,16,20,5,328,404,25.2,1,810,4.5,113.1,7,80,88,21.8,15,1,5
17,NewOrleansSaints,16,19,2,307,421,26.3,1,797,4.3,112.3,13,68,94,22.3,13,3,8
18,PhiladelphiaEagles,16,23,6,377,423,26.4,1,766,4.2,110.4,12,61,91,21.5,9,1,7
19,KansasCityChiefs,16,20,4,326,408,25.5,1,764,4.3,110.2,11,38T,88,21.6,10,0,9
20,HoustonTexans,16,26,7,427,433,27.1,1,751,4.0,109.4,16,42,113,26.1,6,1,5
21,DallasCowboys,16,27,2,436,402,25.1,1,734,4.3,108.4,11,56,84,20.9,12,2,9
22,NewEnglandPatriots,16,19,6,313,409,25.6,1,728,4.2,108.0,10,36,99,24.2,6,0,9
23,AtlantaFalcons,16,18,288,366,22.9,1,694,4.6,105.9,9,80T,87,23.8,10,5,8
24,MinnesotaVikings,16,21,8,348,417,26.1,1,635,3.9,102.2,10,73,87,20.9,10,3,7
25,NewYorkGiants,16,21,7,347,389,24.3,1,620,4.2,101.2,11,50T,88,22.6,12,3,5
26,MiamiDolphins,16,20,8,333,447,27.9,1,601,3.6,100.1,8,30,84,18.8,4,0,4
27,SanFrancisco49ers,16,21,6,346,447,27.9,1,547,3.5,96.7,9,43,86,19.2,9,1,4
28,BaltimoreRavens,16,16,9,270,384,24.0,1,503,3.9,93.9,5,48,79,20.6,6,2,10
29,SanDiegoChargers,16,20,1,322,404,25.2,1,500,3.7,93.8,14,56T,77,19.1,7,1,2
30,NewYorkJets,16,19,304,408,25.5,1,454,3.6,90.9,11,32,70,17.2,8,0,12
31,ChicagoBears,16,17,9,286,386,24.1,1,441,3.7,90.1,14,45,88,22.8,13,1,15
32,PittsburghSteelers,16,14,5,232,333,20.8,1,004,3.0,62.8,5,24,61,18.3,1,0,5
