Rk,Team,G,Pts/G,TotPts,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
1,ArizonaCardinals,16,26,6,425,510,31.9,2,479,4.9,154.9,25,65,139,27.3,21,4,3
2,MiamiDolphins,16,27,1,433,485,30.3,2,325,4.8,145.3,17,71,116,23.9,20,3,3
3,OaklandRaiders,16,29,2,467,480,30.0,2,249,4.7,140.6,16,63T,108,22.5,12,7,6
4,CincinnatiBengals,16,28,4,455,466,29.1,2,204,4.7,137.8,17,65T,125,26.8,15,2,3
5,ClevelandBrowns,16,24,5,392,459,28.7,2,163,4.7,135.2,20,52,130,28.3,18,1,6
6,KansasCityChiefs,16,26,3,421,425,26.6,2,114,5.0,132.1,19,30,129,30.4,11,0,6
7,NewYorkJets,16,27,6,441,440,27.5,2,021,4.6,126.3,16,38T,104,23.6,24,0,4
8,AtlantaFalcons,16,26,4,423,409,25.6,1,999,4.9,124.9,16,92T,115,28.1,13,1,10
9,TampaBayBuccaneers,16,29,464,426,26.6,1,983,4.7,123.9,19,53,122,28.6,17,2,5
10,LosAngelesRams,16,24,384,386,24.1,1,957,5.1,122.3,12,51,101,26.2,17,1,4
11,GreenBayPackers,16,25,400,446,27.9,1,918,4.3,119.9,15,41,100,22.4,10,1,6
12,DenverBroncos,16,21,8,349,429,26.8,1,913,4.5,119.6,11,77T,85,19.8,15,5,6
13,NewYorkGiants,16,25,8,412,444,27.8,1,898,4.3,118.6,18,64T,103,23.2,11,3,7
14,JacksonvilleJaguars,16,19,8,316,434,27.1,1,870,4.3,116.9,16,99T,89,20.5,11,5,5
15,TennesseeTitans,16,18,9,303,429,26.8,1,863,4.3,116.4,9,97T,98,22.8,7,1,2
16,WashingtonRedskins,16,22,4,359,413,25.8,1,860,4.5,116.2,12,78T,109,26.4,6,2,3
17,BuffaloBills,16,23,4,374,440,27.5,1,839,4.2,114.9,17,43,111,25.2,12,1,10
18,MinnesotaVikings,16,21,3,341,440,27.5,1,815,4.1,113.4,13,75T,107,24.3,7,3,12
19,SanFrancisco49ers,16,27,2,435,444,27.8,1,814,4.1,113.4,13,34,104,23.4,11,0,6
20,SeattleSeahawks,16,21,7,347,366,22.9,1,811,4.9,113.2,9,59,91,24.9,14,2,7
21,CarolinaPanthers,16,23,9,382,384,24.0,1,804,4.7,112.8,13,60,110,28.6,17,2,9
22,NewEnglandPatriots,16,20,3,325,367,22.9,1,803,4.9,112.7,7,54T,93,25.3,11,1,8
23,DetroitLions,16,22,5,360,403,25.2,1,761,4.4,110.1,11,70,88,21.8,9,5,5
24,LosAngelesChargers,16,20,6,329,395,24.7,1,693,4.3,105.8,11,43,101,25.6,11,3,6
25,IndianapolisColts,16,21,5,344,415,25.9,1,626,3.9,101.6,12,34T,87,21.0,11,0,5
26,PhiladelphiaEagles,16,21,8,348,332,20.8,1,551,4.7,96.9,14,90T,71,21.4,14,4,6
27,PittsburghSteelers,16,22,5,360,369,23.1,1,538,4.2,96.1,13,51,84,22.8,10,1,5
28,DallasCowboys,16,20,2,324,400,25.0,1,513,3.8,94.6,12,68,89,22.3,9,1,7
29,BaltimoreRavens,16,17,9,287,354,22.1,1,327,3.7,82.9,11,35T,82,23.2,6,0,2
30,HoustonTexans,16,19,8,316,385,24.1,1,323,3.4,82.7,8,39,76,19.7,3,0,6
31,NewOrleansSaints,16,22,1,353,356,22.2,1,283,3.6,80.2,12,28T,72,20.2,7,0,4
32,ChicagoBears,16,17,7,283,339,21.2,1,280,3.8,80.0,5,32,67,19.8,7,0,5
