Rk,Team,G,Pts/G,TotPts,ScrmPlys,Yds/G,Yds/P,1st/G,3rdMd,3rdAtt,3rdPct,4thMd,4thAtt,4thPct,Pen,PenYds,ToP/G,FUM,Lost
1,CincinnatiBengals,16,28.4,455,1,084,413.6,6.1,23.2,109,223,49,11,17,65,113,944,32:33,14,6
2,KansasCityChiefs,16,26.3,421,1,109,405.5,5.9,26.2,80,193,42,18,27,67,107,881,31:20,29,12
3,ClevelandBrowns,16,24.5,392,1,122,393.0,5.6,23.6,75,210,36,13,20,65,119,990,32:48,27,14
4,MiamiDolphins,16,27.1,433,1,024,391.1,6.1,21.9,84,196,43,6,15,40,107,856,32:31,17,7
5,AtlantaFalcons,16,26.4,423,1,031,384.5,6.0,23.4,95,195,49,10,13,77,108,1,001,30:51,21,4
6,TampaBayBuccaneers,16,29,464,998,383.4,6.1,22.2,73,181,40,7,14,50,127,1,156,30:01,18,8
7,OaklandRaiders,16,29.2,467,973,381.4,6.3,19.8,93,201,46,8,12,67,117,991,29:32,10,3
8,NewYorkJets,16,27.6,441,1,061,380.4,5.7,21.4,72,213,34,9,14,64,95,817,31:03,20,7
9,NewYorkGiants,16,25.8,412,1,034,371.4,5.7,21.6,87,206,42,14,17,82,110,919,31:30,19,5
10,PhiladelphiaEagles,16,21.8,348,1,002,366.2,5.8,19.2,71,201,35,11,19,58,115,995,28:29,22,7
11,DenverBroncos,16,21.8,349,1,022,365.1,5.7,19.9,82,211,39,6,11,54,123,1,006,31:02,23,11
12,NewEnglandPatriots,16,20.3,325,1,002,359.1,5.7,20.1,76,197,39,6,16,38,91,838,28:55,20,10
13,ArizonaCardinals,16,26.6,425,1,065,358.8,5.4,22.3,78,205,38,8,13,62,100,790,33:27,20,9
14,LosAngelesRams,16,24,384,960,358.6,6.0,20.1,70,188,37,9,15,60,99,852,29:18,14,12
15,GreenBayPackers,16,25,400,1,017,354.4,5.6,20.7,79,212,37,12,18,67,97,792,30:48,18,8
16,WashingtonRedskins,16,22.4,359,996,353.4,5.7,20.6,86,196,44,5,13,38,102,791,30:22,24,11
17,SeattleSeahawks,16,21.7,347,955,353.3,5.9,20.2,64,183,35,6,13,46,108,981,28:57,26,14
18,CarolinaPanthers,16,23.9,382,948,353.2,6.0,19.7,73,183,40,10,17,59,91,805,29:16,22,10
19,NewOrleansSaints,16,22.1,353,978,349.1,5.7,20.8,78,189,41,14,29,48,85,814,28:34,22,12
20,SanFrancisco49ers,16,27.2,435,1,023,346.6,5.4,21.1,87,216,40,10,17,59,117,1,011,30:31,21,5
21,HoustonTexans,16,19.8,316,1,022,343.1,5.4,18.6,91,227,40,12,20,60,117,945,30:22,26,14
22,IndianapolisColts,16,21.5,344,995,339.4,5.5,19.7,82,200,41,7,15,47,131,1,115,30:33,22,11
23,DetroitLions,16,22.5,360,942,335.0,5.7,19.7,69,186,37,9,17,53,94,886,28:36,13,7
24,LosAngelesChargers,16,20.6,329,981,333.7,5.4,19.4,79,202,39,11,20,55,103,828,29:17,18,7
25,TennesseeTitans,16,18.9,303,1,001,333.4,5.3,18.6,75,205,37,11,20,55,120,984,30:51,14,6
26,DallasCowboys,16,20.2,324,981,329.2,5.4,19.3,85,201,42,6,14,43,89,681,29:29,21,11
27,PittsburghSteelers,16,22.5,360,987,327.2,5.3,19.8,72,197,36,7,13,54,136,1,170,29:37,16,7
28,JacksonvilleJaguars,16,19.8,316,970,311.4,5.1,18.0,80,212,38,3,12,25,92,735,29:46,15,6
29,MinnesotaVikings,16,21.3,341,993,309.7,5.0,18.9,58,190,30,9,19,47,106,834,31:03,24,8
30,ChicagoBears,16,17.7,283,1,004,299.7,4.8,17.4,75,219,34,16,28,57,114,1,022,28:42,21,9
31,BuffaloBills,16,23.4,374,968,294.1,4.9,18.3,74,203,36,6,11,54,99,976,29:31,30,11
32,BaltimoreRavens,16,17.9,287,974,292.9,4.8,17.9,72,211,34,10,20,50,113,1,017,28:15,15,5
