team-away,team-home,score-away,score-home
Bills,Patriots,12,24
Packers,Jets,44,38
Texans,Eagles,30,32
Rams,Cardinals,31,9
Bears,49ers,14,9
Steelers,Saints,28,31
Chiefs,Seahawks,31,38
Broncos,Raiders,14,27
Browns,Ravens,24,26
Dolphins,Bills,17,42
Lions,Packers,31,0
Jaguars,Texans,3,20
Raiders,Chiefs,3,35
Bears,Vikings,24,10
Jets,Patriots,3,38
Panthers,Saints,33,14
Cowboys,Giants,36,35
Bengals,Steelers,13,16
Falcons,Buccaneers,34,32
Colts,Titans,33,17
Eagles,Redskins,24,0
Chargers,Broncos,23,9
49ers,Rams,32,48
Cardinals,Seahawks,24,27
