Rk,Team,G,Pts/G,TotPts,ScrmPlys,Yds/G,Yds/P,1st/G,3rdMd,3rdAtt,3rdPct,4thMd,4thAtt,4thPct,Pen,PenYds,ToP/G,FUM,Lost
1,TampaBayBuccaneers,16,23,9,382,1,011,378.1,6.0,20.4,104,216,48,2,9,22,109,937,30:32,26,13
2,NewYorkGiants,16,24,2,388,1,052,373.2,5.7,19.6,88,222,40,5,17,29,115,923,31:49,18,6
3,IndianapolisColts,16,25,2,404,1,026,367.1,5.7,20.2,97,217,45,7,14,50,102,822,31:29,23,7
4,NewEnglandPatriots,16,18,5,296,1,022,366.0,5.7,20.3,82,208,39,10,23,44,111,1,035,29:23,19,6
5,KansasCityChiefs,16,21,2,339,1,044,365.1,5.6,22.0,83,207,40,9,17,53,107,864,29:35,19,10
6,DetroitLions,16,23,5,376,1,037,355.8,5.5,21.9,74,194,38,8,15,53,110,971,30:12,20,13
7,BuffaloBills,16,22,4,359,1,066,355.1,5.3,21.8,82,214,38,11,20,55,97,873,32:11,25,7
8,NewYorkJets,16,23,9,382,1,052,352.2,5.4,20.6,82,221,37,5,11,46,114,981,30:23,19,9
9,SanFrancisco49ers,16,23,9,383,1,065,351.6,5.3,21.4,95,221,43,10,12,83,97,791,31:51,25,10
10,OaklandRaiders,16,23,3,373,994,350.1,5.6,19.0,88,215,41,7,10,70,102,944,31:07,20,9
11,GreenBayPackers,16,24,384,1,014,348.9,5.5,20.7,89,208,43,8,10,80,94,832,31:38,20,11
12,WashingtonRedskins,16,24,2,388,1,045,347.9,5.3,19.2,83,226,37,9,15,60,100,887,30:25,21,7
13,HoustonTexans,16,27,2,436,973,346.6,5.7,18.8,71,201,35,5,8,62,122,1,128,29:53,14,5
14,LosAngelesRams,16,20,6,329,1,020,339.5,5.3,18.8,86,227,38,9,15,60,102,808,29:54,23,10
15,CincinnatiBengals,16,21,8,349,1,091,339.1,5.0,20.3,98,241,41,9,19,47,106,906,32:55,7,3
16,NewOrleansSaints,16,20,4,326,1,002,336.5,5.4,19.2,87,212,41,4,12,33,108,850,29:00,20,5
17,MiamiDolphins,16,24,6,393,989,335.7,5.4,19.9,75,203,37,2,8,25,122,1,077,30:35,21,6
18,LosAngelesChargers,16,17,272,997,328.4,5.3,17.6,86,221,39,6,20,30,109,995,30:04,21,9
19,ClevelandBrowns,16,25,6,410,1,026,328.1,5.1,19.7,91,224,41,5,10,50,101,905,32:37,21,6
20,TennesseeTitans,16,22,2,356,1,046,328.0,5.0,20.2,78,214,36,10,16,62,119,942,30:24,23,9
21,BaltimoreRavens,16,18,9,303,1,045,325.1,5.0,18.5,82,222,37,6,16,38,96,807,29:37,22,12
22,SeattleSeahawks,16,20,8,332,1,045,323.2,4.9,19.8,85,222,38,7,15,47,102,878,30:41,22,11
23,ChicagoBears,16,20,320,1,003,319.1,5.1,18.6,86,219,39,6,11,54,118,910,31:38,19,14
24,AtlantaFalcons,16,19,7,315,994,318.4,5.1,20.2,75,196,38,13,19,68,103,875,30:10,19,8
25,DallasCowboys,16,20,8,332,1,000,318.1,5.1,19.5,90,210,43,4,13,31,107,880,29:48,26,11
26,CarolinaPanthers,16,20,4,327,953,317.1,5.3,17.6,78,206,38,7,20,35,101,867,27:43,19,11
27,ArizonaCardinals,16,22,6,361,1,007,310.9,4.9,17.7,80,224,36,7,16,44,129,1,128,29:33,20,6
28,PittsburghSteelers,16,19,2,308,940,306.9,5.2,16.9,72,199,36,6,19,32,110,1,041,28:07,19,6
29,PhiladelphiaEagles,16,18,4,295,976,306.5,5.0,17.0,66,205,32,4,18,22,101,917,27:19,19,12
30,DenverBroncos,16,23,9,382,952,290.0,4.9,16.6,66,209,32,7,21,33,89,821,28:32,13,7
31,JacksonvilleJaguars,16,16,8,268,993,286.1,4.6,16.1,74,220,34,6,13,46,112,1,050,28:42,25,12
32,MinnesotaVikings,16,15,8,252,956,275.9,4.6,16.2,51,202,25,9,23,39,105,928,27:34,16,5
