Rk,Team,G,Pts/G,TotPts,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
1,WashingtonRedskins,16,24,2,388,472,29.5,2,146,4.5,134.1,13,75T,105,22.2,14,1,8
2,LosAngelesChargers,16,17,272,430,26.9,2,098,4.9,131.1,11,69T,99,23.0,18,6,5
3,CincinnatiBengals,16,21,8,349,489,30.6,2,046,4.2,127.9,13,49T,111,22.7,8,1,4
4,BuffaloBills,16,22,4,359,466,29.1,1,994,4.3,124.6,22,51,121,26.0,14,3,5
5,LosAngelesRams,16,20,6,329,417,26.1,1,957,4.7,122.3,15,75T,86,20.6,12,4,8
6,NewYorkGiants,16,24,2,388,464,29.0,1,933,4.2,120.8,10,51T,101,21.8,13,1,3
7,IndianapolisColts,16,25,2,404,488,30.5,1,927,3.9,120.4,15,72T,99,20.3,12,2,10
8,KansasCityChiefs,16,21,2,339,443,27.7,1,890,4.3,118.1,15,27,112,25.3,6,0,4
9,NewYorkJets,16,23,9,382,466,29.1,1,887,4.0,117.9,13,70,88,18.9,13,6,9
10,TampaBayBuccaneers,16,23,9,382,440,27.5,1,880,4.3,117.5,17,69,102,23.2,14,1,9
11,SanFrancisco49ers,16,23,9,383,491,30.7,1,861,3.8,116.3,13,45,108,22.0,10,1,10
12,JacksonvilleJaguars,16,16,8,268,429,26.8,1,860,4.3,116.2,9,75T,91,21.2,6,2,8
13,NewEnglandPatriots,16,18,5,296,390,24.4,1,836,4.7,114.8,6,87T,98,25.1,11,2,6
14,SeattleSeahawks,16,20,8,332,452,28.2,1,824,4.0,114.0,14,75T,90,19.9,9,3,8
15,DetroitLions,16,23,5,376,432,27.0,1,800,4.2,112.5,18,51,110,25.5,8,3,8
16,GreenBayPackers,16,24,384,464,29.0,1,793,3.9,112.1,10,37,95,20.5,11,0,6
17,NewOrleansSaints,16,20,4,326,406,25.4,1,787,4.4,111.7,11,50,92,22.7,12,3,5
18,BaltimoreRavens,16,18,9,303,435,27.2,1,780,4.1,111.2,12,59,87,20.0,12,3,5
19,MiamiDolphins,16,24,6,393,431,26.9,1,768,4.1,110.5,14,69,88,20.4,13,3,9
20,HoustonTexans,16,27,2,436,440,27.5,1,747,4.0,109.2,14,75T,88,20.0,13,1,4
21,OaklandRaiders,16,23,3,373,433,27.1,1,743,4.0,108.9,11,48T,93,21.5,9,3,6
22,ChicagoBears,16,20,320,432,27.0,1,730,4.0,108.1,10,58T,85,19.7,9,1,8
23,PittsburghSteelers,16,19,2,308,385,24.1,1,693,4.4,105.8,14,90T,89,23.1,10,3,4
24,AtlantaFalcons,16,19,7,315,402,25.1,1,665,4.1,104.1,9,46,97,24.1,6,1,8
25,DallasCowboys,16,20,8,332,403,25.2,1,664,4.1,104.0,7,71,96,23.8,7,1,6
26,ClevelandBrowns,16,25,6,410,467,29.2,1,566,3.4,97.9,14,39,95,20.3,10,0,5
27,ArizonaCardinals,16,22,6,361,406,25.4,1,434,3.5,89.6,12,37,68,16.7,9,0,7
28,DenverBroncos,16,23,9,382,428,26.8,1,430,3.3,89.4,9,47,68,15.9,8,3,4
29,TennesseeTitans,16,22,2,356,398,24.9,1,420,3.6,88.8,5,34,68,17.1,3,0,9
30,CarolinaPanthers,16,20,4,327,353,22.1,1,409,4.0,88.1,7,72,69,19.5,10,2,1
31,MinnesotaVikings,16,15,8,252,364,22.8,1,337,3.7,83.6,10,62,59,16.2,6,2,4
32,PhiladelphiaEagles,16,18,4,295,337,21.1,1,267,3.8,79.2,7,53T,62,18.4,11,1,3
