Rk,Team,G,Pts/G,TotPts,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM
1,JacksonvilleJaguars,16,26,1,417,527,32.9,2,262,4.3,141.4,18,90T,101,19.2,13,5,9
2,DallasCowboys,16,22,1,354,480,30.0,2,170,4.5,135.6,18,70,127,26.5,12,2,1
3,PhiladelphiaEagles,16,28,6,457,473,29.6,2,115,4.5,132.2,9,71,108,22.8,19,3,11
4,CarolinaPanthers,16,22,7,363,490,30.6,2,102,4.3,131.4,15,69,121,24.7,10,5,10
5,NewOrleansSaints,16,28,448,444,27.8,2,070,4.7,129.4,23,74T,111,25.0,17,5,5
6,BuffaloBills,16,18,9,302,487,30.4,2,017,4.1,126.1,12,48T,105,21.6,17,1,8
7,MinnesotaVikings,16,23,9,382,501,31.3,1,957,3.9,122.3,15,58T,100,20.0,15,2,4
8,LosAngelesRams,16,29,9,478,454,28.4,1,953,4.3,122.1,17,57T,97,21.4,12,1,8
9,KansasCityChiefs,16,25,9,415,405,25.3,1,903,4.7,118.9,12,70,95,23.5,15,4,3
10,NewEnglandPatriots,16,28,6,458,448,28.0,1,889,4.2,118.1,16,44,107,23.9,10,1,4
11,BaltimoreRavens,16,24,7,395,460,28.8,1,856,4.0,116.0,14,50,111,24.1,8,1,5
12,DenverBroncos,16,18,1,289,457,28.6,1,852,4.1,115.8,8,40,92,20.1,8,1,5
13,AtlantaFalcons,16,22,1,353,430,26.9,1,847,4.3,115.4,12,52,101,23.5,11,2,9
14,HoustonTexans,16,21,1,338,448,28.0,1,842,4.1,115.1,8,49T,86,19.2,6,2,4
15,TennesseeTitans,16,20,9,334,443,27.7,1,833,4.1,114.6,18,75T,97,21.9,12,3,4
16,ChicagoBears,16,16,5,264,422,26.4,1,788,4.2,111.8,13,53,93,22.0,10,5,10
17,GreenBayPackers,16,20,320,386,24.1,1,724,4.5,107.8,13,46T,99,25.6,11,1,4
18,ClevelandBrowns,16,14,6,234,384,24.0,1,714,4.5,107.1,11,59,97,25.3,7,1,5
19,NewYorkJets,16,18,6,298,427,26.7,1,702,4.0,106.4,13,75T,77,18.0,14,5,6
20,PittsburghSteelers,16,25,4,406,437,27.3,1,667,3.8,104.2,12,29T,96,22.0,6,0,4
21,SanFrancisco49ers,16,20,7,331,408,25.5,1,662,4.1,103.9,15,61,88,21.6,8,1,7
22,IndianapolisColts,16,16,4,263,451,28.2,1,661,3.7,103.8,11,35,94,20.8,8,0,7
23,SeattleSeahawks,16,22,9,366,409,25.6,1,629,4.0,101.8,4,33,85,20.8,12,0,7
24,LosAngelesChargers,16,22,2,355,419,26.2,1,595,3.8,99.7,10,87T,84,20.0,10,1,5
25,OaklandRaiders,16,18,8,301,370,23.1,1,554,4.2,97.1,13,52T,78,21.1,10,4,8
26,NewYorkGiants,16,15,4,246,394,24.6,1,549,3.9,96.8,6,75T,66,16.8,8,2,5
27,TampaBayBuccaneers,16,20,9,335,389,24.3,1,450,3.7,90.6,8,36,76,19.5,5,0,7
28,WashingtonRedskins,16,21,4,342,401,25.1,1,448,3.6,90.5,10,61T,66,16.5,3,1,10
29,MiamiDolphins,16,17,6,281,360,22.5,1,388,3.9,86.8,4,69,66,18.3,10,4,5
30,ArizonaCardinals,16,18,4,295,409,25.6,1,386,3.4,86.6,6,33,66,16.1,5,0,9
31,CincinnatiBengals,16,18,1,290,377,23.6,1,366,3.6,85.4,6,25,72,19.1,8,0,4
32,DetroitLions,16,25,6,410,363,22.7,1,221,3.4,76.3,10,34,58,16.0,7,0,6
