Rk,Team,G,Pts/G,TotPts,ScrmPlys,Yds/G,Yds/P,1st/G,3rdMd,3rdAtt,3rdPct,4thMd,4thAtt,4thPct,Pen,PenYds,ToP/G,FUM,Lost,TO
1,NewEnglandPatriots,16,28,6,458,1,070,394.2,5.9,24.3,82,202,41,8,13,62,95,835,30:37,13,4,+6
2,NewOrleansSaints,16,28,448,1,000,391.2,6.3,20.8,73,194,38,12,15,80,105,962,31:09,19,10,+7
3,PittsburghSteelers,16,25,4,406,1,051,377.9,5.8,21.8,92,209,44,3,8,38,101,896,31:59,15,5,+2
4,LosAngelesChargers,16,22,2,355,1,020,376.6,5.9,21.1,84,209,40,5,11,46,108,927,30:21,17,4,+12
5,KansasCityChiefs,16,25,9,415,985,375.4,6.1,20.1,78,199,39,3,10,30,118,1,044,30:55,14,3,+15
6,JacksonvilleJaguars,16,26,1,417,1,078,365.9,5.4,20.8,85,227,37,10,13,77,112,936,32:19,24,10,+10
7,PhiladelphiaEagles,16,28,6,457,1,073,365.8,5.5,21.1,96,230,42,17,26,65,116,962,32:41,25,11,+11
8,AtlantaFalcons,16,22,1,353,984,364.8,5.9,20.6,88,197,45,4,13,31,102,918,29:50,17,6,-2
9,TampaBayBuccaneers,16,20,9,335,1,034,363.5,5.6,22.0,85,196,43,4,8,50,104,795,29:43,27,13,-1
10,LosAngelesRams,16,29,9,478,1,000,361.5,5.8,19.4,88,214,41,5,12,42,107,922,30:06,29,14,+7
11,MinnesotaVikings,16,23,9,382,1,055,356.9,5.4,20.9,94,216,44,1,7,14,100,949,32:26,11,6,+5
12,SanFrancisco49ers,16,20,7,331,1,058,349.2,5.3,20.1,91,234,39,8,18,44,123,988,29:16,14,8,-3
13,DetroitLions,16,25,6,410,980,337.8,5.5,18.5,81,209,39,1,9,11,104,968,29:48,21,11,+10
14,DallasCowboys,16,22,1,354,1,005,331.9,5.3,19.6,87,203,43,10,19,53,97,939,30:12,11,9,-1
15,SeattleSeahawks,16,22,9,366,1,007,330.4,5.2,18.7,79,212,37,5,9,56,148,1,342,29:19,18,5,+8
16,WashingtonRedskins,16,21,4,342,982,324.9,5.3,17.4,66,204,32,9,16,56,92,732,29:45,28,14,-4
17,DenverBroncos,16,18,1,289,1,075,324.1,4.8,18.6,94,241,39,7,20,35,113,885,31:28,26,12,-17
17,OaklandRaiders,16,18,8,301,952,324.1,5.4,17.9,82,204,40,8,24,33,114,1,009,28:53,33,14,-14
19,CarolinaPanthers,16,22,7,363,1,026,323.7,5.0,20.0,93,222,42,5,11,46,83,682,32:17,19,6,-1
20,HoustonTexans,16,21,1,338,1,027,320.0,5.0,19.6,76,209,36,5,10,50,124,1,050,30:07,25,11,-12
21,NewYorkGiants,16,15,4,246,1,036,314.2,4.9,16.9,74,227,33,8,21,38,91,895,28:42,20,8,-3
22,ArizonaCardinals,16,18,4,295,1,059,314.1,4.7,19.4,82,233,35,7,16,44,110,880,31:10,19,7,-4
23,TennesseeTitans,16,20,9,334,974,314.0,5.2,18.1,71,202,35,5,10,50,85,785,30:06,10,8,-4
24,ClevelandBrowns,16,14,6,234,1,008,308.9,4.9,18.1,73,216,34,12,23,52,110,924,28:12,25,13,-28
25,MiamiDolphins,16,17,6,281,995,307.7,4.9,17.8,64,202,32,7,24,29,137,1,154,29:25,23,8,-14
26,GreenBayPackers,16,20,320,999,305.7,4.9,19.2,83,211,39,15,28,54,96,789,29:09,14,7,-3
27,BaltimoreRavens,16,24,7,395,1,054,305.4,4.6,19.4,76,223,34,10,16,62,91,749,30:53,19,4,+17
28,NewYorkJets,16,18,6,298,984,305.2,5.0,16.8,81,228,36,7,13,54,119,1,035,30:13,25,12,-4
29,BuffaloBills,16,18,9,302,1,010,302.6,4.8,17.4,101,241,42,2,15,13,98,872,28:20,17,6,+9
30,ChicagoBears,16,16,5,264,934,287.4,4.9,16.7,71,205,35,7,18,39,115,943,28:58,24,10,0
31,IndianapolisColts,16,16,4,263,994,284.6,4.6,16.7,87,228,38,8,17,47,92,779,29:41,20,6,+5
32,CincinnatiBengals,16,18,1,290,927,280.5,4.8,16.7,67,199,34,5,12,42,110,1,027,27:18,22,11,-9
