team-away,team-home,score-away,score-home
Chiefs,Patriots,42,27
Jets,Bills,12,21
Falcons,Bears,23,17
Ravens,Bengals,20,0
Steelers,Browns,21,18
Cardinals,Lions,23,35
Jaguars,Texans,29,7
Raiders,Titans,26,16
Eagles,Redskins,30,17
Colts,Rams,9,46
Seahawks,Packers,9,17
Panthers,49ers,23,3
Giants,Cowboys,3,19
Saints,Vikings,19,29
Chargers,Broncos,21,24
Texans,Bengals,13,9
Browns,Ravens,10,24
Bills,Panthers,3,9
Cardinals,Colts,16,13
Titans,Jaguars,37,16
Eagles,Chiefs,20,27
Patriots,Saints,36,20
Vikings,Steelers,9,26
Bears,Buccaneers,7,29
Dolphins,Chargers,19,17
Jets,Raiders,20,45
Cowboys,Broncos,17,42
Redskins,Rams,27,20
49ers,Seahawks,9,12
Packers,Falcons,23,34
Lions,Giants,24,10
Rams,49ers,41,39
Ravens,Jaguars,7,44
Broncos,Bills,16,26
Saints,Panthers,34,13
Steelers,Bears,17,23
Falcons,Lions,30,26
Browns,Colts,28,31
Buccaneers,Vikings,17,34
Texans,Patriots,33,36
Dolphins,Jets,6,20
Giants,Eagles,24,27
Seahawks,Titans,27,33
Bengals,Packers,24,27
Chiefs,Chargers,24,10
Raiders,Redskins,10,27
Cowboys,Cardinals,28,17
Bears,Packers,14,35
Saints,Dolphins,20,0
Bills,Falcons,23,17
Steelers,Ravens,26,9
Bengals,Browns,31,7
Rams,Cowboys,35,30
Titans,Texans,14,57
Lions,Vikings,14,7
Panthers,Patriots,33,30
Jaguars,Jets,20,23
49ers,Cardinals,15,18
Eagles,Chargers,26,24
Giants,Buccaneers,23,25
Raiders,Broncos,10,16
Colts,Seahawks,18,46
Redskins,Chiefs,20,29
Patriots,Buccaneers,19,14
Bills,Bengals,16,20
Jets,Browns,17,14
Panthers,Lions,27,24
49ers,Colts,23,26
Titans,Dolphins,10,16
Chargers,Giants,27,22
Cardinals,Eagles,7,34
Jaguars,Steelers,30,9
Seahawks,Rams,16,10
Ravens,Raiders,30,17
Packers,Cowboys,35,31
Chiefs,Texans,42,34
Vikings,Bears,20,17
Eagles,Panthers,28,23
Dolphins,Falcons,20,17
Bears,Ravens,27,24
Browns,Texans,17,33
Packers,Vikings,10,23
Lions,Saints,38,52
Patriots,Jets,24,17
49ers,Redskins,24,26
Buccaneers,Cardinals,33,38
Rams,Jaguars,27,17
Steelers,Chiefs,19,13
Chargers,Raiders,17,16
Giants,Broncos,23,10
Colts,Titans,22,36
Chiefs,Raiders,30,31
Buccaneers,Bills,27,30
Panthers,Bears,3,17
Titans,Browns,12,9
Saints,Packers,26,17
Jaguars,Colts,27,0
Cardinals,Rams,0,33
Jets,Dolphins,28,31
Ravens,Vikings,16,24
Bengals,Steelers,14,29
Cowboys,49ers,40,10
Broncos,Chargers,0,21
Seahawks,Giants,24,7
Falcons,Patriots,7,23
Redskins,Eagles,24,34
Dolphins,Ravens,0,40
Vikings,Browns,33,16
Raiders,Bills,14,34
Colts,Bengals,23,24
Chargers,Patriots,13,21
Bears,Saints,12,20
Falcons,Jets,25,20
49ers,Eagles,10,33
Panthers,Buccaneers,17,3
Texans,Seahawks,38,41
Cowboys,Redskins,33,19
Steelers,Lions,20,15
Broncos,Chiefs,19,29
Bills,Jets,21,34
Falcons,Panthers,17,20
Colts,Texans,20,14
Bengals,Jaguars,7,23
Buccaneers,Saints,10,30
Rams,Giants,51,17
Broncos,Eagles,23,51
Ravens,Titans,20,23
Cardinals,49ers,20,10
Redskins,Seahawks,17,14
Chiefs,Cowboys,17,28
Raiders,Dolphins,27,24
Lions,Packers,30,17
