Rk,Team,G,Pts/G,TotPts,ScrmPlys,Yds/G,Yds/P,1st/G,3rdMd,3rdAtt,3rdPct,4thMd,4thAtt,4thPct,Pen,PenYds,ToP/G,FUM,Lost,TO
1,NewOrleansSaints,16,34,2,547,1,117,467.1,6.7,26.0,118,208,57,3,10,30,99,851,31:59,6,5,-3
2,NewEnglandPatriots,16,32,1,513,1,082,428.0,6.3,24.9,89,194,46,7,11,64,87,815,28:47,13,5,+17
3,GreenBayPackers,16,35,560,988,405.1,6.6,22.1,91,189,48,4,8,50,76,591,30:29,15,6,+24
4,PhiladelphiaEagles,16,24,8,396,1,036,399.1,6.2,22.2,85,205,42,7,15,47,107,853,31:20,23,13,-14
5,DetroitLions,16,29,6,474,1,058,396.1,6.0,21.8,76,212,36,8,14,57,128,1,075,30:09,20,7,+11
6,SanDiegoChargers,16,25,4,406,1,048,393.1,6.0,22.4,103,211,49,4,11,36,91,753,32:27,20,8,-7
7,CarolinaPanthers,16,25,4,406,999,389.8,6.2,21.6,75,185,40,6,10,60,113,1,013,30:16,13,6,+1
8,NewYorkGiants,16,24,6,394,1,028,385.1,6.0,20.7,77,206,37,4,13,31,94,795,29:30,18,8,+7
9,OaklandRaiders,16,22,4,359,1,015,379.5,6.0,20.5,71,199,36,7,13,54,163,1,358,29:55,16,7,-4
10,AtlantaFalcons,16,25,1,402,1,073,376.6,5.6,21.8,99,224,44,4,13,31,93,769,32:18,12,8,+8
11,DallasCowboys,16,23,1,369,1,017,375.5,5.9,20.4,78,198,39,5,10,50,114,816,31:25,24,9,+4
12,PittsburghSteelers,16,20,3,325,1,015,372.3,5.9,21.3,90,196,46,3,8,38,101,854,32:33,16,13,-13
13,HoustonTexans,16,23,8,381,1,046,372.1,5.7,20.1,93,224,42,3,11,27,99,852,32:40,20,11,+7
14,BuffaloBills,16,23,2,372,992,351.5,5.7,19.6,62,191,32,9,22,41,86,743,30:11,16,5,+1
15,BaltimoreRavens,16,23,6,378,1,036,338.7,5.2,19.5,97,229,42,4,7,57,92,742,30:35,24,12,+2
16,WashingtonRedskins,16,18,288,1,032,336.7,5.2,19.5,81,219,37,4,13,31,91,897,30:21,25,11,-14
17,TennesseeTitans,16,20,3,325,984,335.1,5.4,17.6,80,218,37,10,14,71,104,960,27:54,17,8,+1
18,MinnesotaVikings,16,21,2,340,1,007,329.7,5.2,18.6,83,216,38,7,18,39,109,908,28:43,20,9,-3
19,ArizonaCardinals,16,19,5,312,993,324.5,5.2,17.9,66,205,32,9,15,60,106,1,004,28:43,24,9,-13
20,CincinnatiBengals,16,21,5,344,1,015,319.9,5.0,17.8,80,219,36,4,10,40,99,874,30:19,17,8,0
21,TampaBayBuccaneers,16,17,9,287,966,319.2,5.3,17.3,76,206,37,8,21,38,123,1,007,29:07,30,16,-16
22,MiamiDolphins,16,20,6,329,990,317.4,5.1,17.9,69,207,33,6,16,38,85,779,30:37,28,12,-6
23,DenverBroncos,16,19,3,309,1,017,316.6,5.0,17.9,66,214,31,3,13,23,101,842,29:43,30,17,-12
24,ChicagoBears,16,22,1,353,978,314.1,5.1,16.9,66,203,32,2,8,25,104,800,30:25,26,9,+2
25,NewYorkJets,16,23,6,377,1,030,311.8,4.8,18.8,74,213,35,4,11,36,102,849,30:49,25,16,-3
26,SanFrancisco49ers,16,23,8,380,993,310.9,5.0,17.6,65,221,29,9,14,64,113,1,014,32:08,14,5,+28
27,KansasCityChiefs,16,13,2,212,1,021,310.8,4.9,17.3,81,225,36,7,17,41,110,916,29:32,17,10,-2
28,SeattleSeahawks,16,20,1,321,1,003,303.8,4.8,16.6,77,228,34,7,15,47,138,1,047,28:23,22,9,+8
29,ClevelandBrowns,16,13,6,218,1,024,288.8,4.5,17.4,92,238,39,10,18,56,95,847,29:15,22,6,+1
30,IndianapolisColts,16,15,2,243,951,286.8,4.8,16.1,74,214,35,4,11,36,76,549,26:13,24,15,-12
31,St.LouisRams,16,12,1,193,1,013,283.6,4.5,16.7,64,228,28,8,23,35,112,899,28:11,27,13,-5
32,JacksonvilleJaguars,16,15,2,243,1,002,259.3,4.1,15.7,81,241,34,6,17,35,77,680,30:02,27,8,+5
