team-away,team-home,score-away,score-home
Saints,Packers,34,42
Steelers,Ravens,7,35
Bengals,Browns,27,17
Colts,Texans,7,34
Titans,Jaguars,14,16
Bills,Chiefs,41,7
Falcons,Bears,12,30
Lions,Buccaneers,27,20
Eagles,Rams,31,13
Giants,Redskins,14,28
Panthers,Cardinals,21,28
Seahawks,49ers,17,33
Vikings,Chargers,17,24
Cowboys,Jets,24,27
Patriots,Dolphins,38,24
Raiders,Broncos,23,20
Chiefs,Lions,3,48
Raiders,Bills,35,38
Ravens,Titans,13,26
Jaguars,Jets,3,32
Browns,Colts,27,19
Cardinals,Redskins,21,22
Buccaneers,Vikings,24,20
Packers,Panthers,30,23
Bears,Saints,13,30
Seahawks,Steelers,0,24
Cowboys,49ers,27,24
Chargers,Patriots,21,35
Bengals,Broncos,22,24
Texans,Dolphins,23,13
Eagles,Falcons,31,35
Rams,Giants,16,28
Jaguars,Panthers,10,16
Texans,Saints,33,40
Patriots,Bills,31,34
Dolphins,Browns,16,17
Broncos,Titans,14,17
Giants,Eagles,29,16
Lions,Vikings,26,23
49ers,Bengals,13,8
Jets,Raiders,24,34
Chiefs,Chargers,17,20
Ravens,Rams,37,7
Packers,Bears,27,17
Cardinals,Seahawks,10,13
Falcons,Buccaneers,13,16
Steelers,Colts,23,20
Redskins,Cowboys,16,18
Bills,Bengals,20,23
Titans,Browns,31,13
Steelers,Texans,10,17
Lions,Cowboys,34,30
49ers,Eagles,24,23
Panthers,Bears,29,34
Redskins,Rams,17,10
Saints,Jaguars,23,10
Vikings,Chiefs,17,22
Giants,Cardinals,31,27
Falcons,Seahawks,30,28
Broncos,Packers,23,49
Patriots,Raiders,31,19
Dolphins,Chargers,16,26
Jets,Ravens,17,34
Colts,Buccaneers,17,24
Titans,Steelers,17,38
Raiders,Texans,25,20
Chiefs,Colts,28,24
Bengals,Jaguars,30,20
Seahawks,Giants,36,25
Cardinals,Vikings,10,34
Saints,Panthers,30,27
Eagles,Bills,24,31
Buccaneers,49ers,3,48
Jets,Patriots,21,30
Chargers,Broncos,29,24
Packers,Falcons,25,14
Bears,Lions,13,24
Bills,Giants,24,27
Colts,Bengals,17,27
Jaguars,Steelers,13,17
Eagles,Redskins,20,13
49ers,Lions,25,19
Rams,Packers,3,24
Panthers,Falcons,17,31
Browns,Raiders,17,24
Texans,Ravens,14,29
Saints,Buccaneers,20,26
Cowboys,Patriots,16,20
Vikings,Bears,10,39
Dolphins,Jets,6,24
Broncos,Dolphins,18,15
Chargers,Jets,21,27
Texans,Titans,41,7
Falcons,Lions,23,16
Redskins,Panthers,20,33
Bears,Buccaneers,24,18
Seahawks,Browns,3,6
Steelers,Cardinals,32,20
Chiefs,Raiders,28,0
Packers,Vikings,33,27
Rams,Cowboys,7,34
Colts,Saints,7,62
Ravens,Jaguars,7,12
Dolphins,Giants,17,20
Jaguars,Texans,14,24
Colts,Titans,10,27
Vikings,Panthers,24,21
Saints,Rams,21,31
Cardinals,Ravens,27,30
Lions,Broncos,45,10
Redskins,Bills,0,23
Patriots,Steelers,17,25
Browns,49ers,10,20
Bengals,Seahawks,34,12
Cowboys,Eagles,7,34
Chargers,Chiefs,20,23
Jets,Bills,27,11
Browns,Texans,12,30
Dolphins,Chiefs,31,3
Seahawks,Cowboys,13,23
49ers,Redskins,19,11
Buccaneers,Saints,16,27
Falcons,Colts,31,7
Broncos,Raiders,38,24
Bengals,Titans,24,17
Giants,Patriots,24,20
Packers,Chargers,45,38
Rams,Cardinals,13,19
Ravens,Steelers,23,20
Bears,Eagles,30,24
Raiders,Chargers,24,17
Bills,Cowboys,7,44
Titans,Panthers,30,3
Texans,Buccaneers,37,9
Steelers,Bengals,24,17
Jaguars,Colts,17,3
Broncos,Chiefs,17,10
Cardinals,Eagles,21,17
Lions,Bears,13,37
Saints,Falcons,26,23
Redskins,Dolphins,9,20
Rams,Browns,13,12
Ravens,Seahawks,17,22
Giants,49ers,20,27
Patriots,Jets,37,16
Vikings,Packers,7,45
Jets,Broncos,13,17
Raiders,Vikings,27,21
Titans,Falcons,17,23
Bills,Dolphins,8,35
Jaguars,Browns,10,14
Bengals,Ravens,24,31
Cowboys,Redskins,27,24
Panthers,Lions,35,49
Buccaneers,Packers,26,35
Cardinals,49ers,7,23
Seahawks,Rams,24,7
Chargers,Bears,20,31
Eagles,Giants,17,10
Chiefs,Patriots,3,34
Packers,Lions,27,15
Dolphins,Cowboys,19,20
49ers,Ravens,6,16
Bills,Jets,24,28
Browns,Bengals,20,23
Texans,Jaguars,20,13
Vikings,Falcons,14,24
Cardinals,Rams,23,20
Panthers,Colts,27,19
Buccaneers,Titans,17,23
Redskins,Seahawks,23,17
Bears,Raiders,20,25
Patriots,Eagles,38,20
Broncos,Chargers,16,13
Steelers,Chiefs,13,9
Giants,Saints,24,49
Eagles,Seahawks,14,31
Jets,Redskins,34,19
Chiefs,Bears,10,3
Titans,Bills,23,17
Raiders,Dolphins,14,34
Ravens,Browns,24,10
Bengals,Steelers,7,35
Lions,Saints,17,31
Panthers,Buccaneers,38,19
Falcons,Texans,10,17
Broncos,Vikings,35,32
Packers,Giants,38,35
Cowboys,Cardinals,13,19
Rams,49ers,0,26
Colts,Patriots,24,31
Chargers,Jaguars,38,14
Browns,Steelers,3,14
Patriots,Redskins,34,27
Raiders,Packers,16,46
Chiefs,Jets,10,37
Texans,Bengals,20,19
Colts,Ravens,10,24
Vikings,Lions,28,34
Falcons,Panthers,31,23
Eagles,Dolphins,26,10
Buccaneers,Jaguars,14,41
Saints,Titans,22,17
49ers,Cardinals,19,21
Bears,Broncos,10,13
Bills,Chargers,10,37
Giants,Cowboys,37,34
Rams,Seahawks,13,30
Jaguars,Falcons,14,41
Cowboys,Buccaneers,31,15
Bengals,Rams,20,13
Dolphins,Bills,30,23
Titans,Colts,13,27
Redskins,Giants,23,10
Seahawks,Bears,38,14
Saints,Vikings,42,20
Panthers,Texans,28,13
Packers,Chiefs,14,19
Lions,Raiders,28,27
Jets,Eagles,19,45
Browns,Cardinals,17,20
Patriots,Broncos,41,23
Ravens,Chargers,14,34
Steelers,49ers,3,20
Texans,Colts,16,19
Broncos,Bills,14,40
Dolphins,Patriots,24,27
Browns,Ravens,14,20
Jaguars,Titans,17,23
Raiders,Chiefs,16,13
Giants,Jets,29,14
Vikings,Redskins,33,26
Buccaneers,Panthers,16,48
Cardinals,Bengals,16,23
Rams,Steelers,0,27
Chargers,Lions,10,38
Eagles,Cowboys,20,7
49ers,Seahawks,19,17
Bears,Packers,21,35
Falcons,Saints,16,45
Jets,Dolphins,17,19
Bills,Patriots,21,49
Ravens,Bengals,24,16
Steelers,Browns,13,9
Titans,Texans,23,22
Colts,Jaguars,13,19
Cowboys,Giants,14,31
Redskins,Eagles,10,34
Lions,Packers,41,45
Bears,Vikings,17,13
Buccaneers,Falcons,24,45
Panthers,Saints,17,45
49ers,Rams,34,27
Chiefs,Broncos,7,3
Chargers,Raiders,38,26
Seahawks,Cardinals,20,23
